node_a,node_b,activation_hour,label,kind
46509,47127,79,BROADWAY BRG,bridge
55315,105693,79,HAWTHORNE BRG,bridge
72486,72513,79,SELLWOOD BRG,bridge
103648,108059,79,E BURNSIDE ST,arterial
37543,37552,79,N KILLINGSWORTH ST,arterial
45397,45712,79,NE 24TH AVE,arterial
36168,36488,79,NE AIRPORT WAY,arterial
44597,46054,79,NW NAITO PKWY,arterial
59484,108950,79,S KELLY AVE,arterial
70798,71032,79,S TAYLORS FERRY RD,arterial
53837,53849,79,SE MORRISON ST,arterial
60264,60278,79,SE POWELL BLVD,arterial
77432,77584,79,SW 49TH AVE,arterial
70448,70791,79,SW BARBUR BLVD,arterial
66166,102577,79,SW BEAVERTON HILLSDALE HWY,arterial
58068,58921,79,SW BROADWAY DR,arterial
55405,55526,79,SW CLAY ST,arterial
71610,110531,79,SW GARDEN HOME RD,arterial
