node_a,node_b,activation_hour,label,kind
55315,105693,79,HAWTHORNE BRG,bridge
72486,72513,79,SELLWOOD BRG,bridge
51516,51524,79,E BURNSIDE ST,arterial
37543,37552,79,N KILLINGSWORTH ST,arterial
31519,31582,79,N ST LOUIS AVE,arterial
45397,45712,79,NE 24TH AVE,arterial
33062,110285,79,NE AIRPORT WAY,arterial
44597,46054,79,NW NAITO PKWY,arterial
59484,108950,79,S KELLY AVE,arterial
53837,53849,79,SE MORRISON ST,arterial
60264,60278,79,SE POWELL BLVD,arterial
77432,77584,79,SW 49TH AVE,arterial
70448,70791,79,SW BARBUR BLVD,arterial
66166,102577,79,SW BEAVERTON HILLSDALE HWY,arterial
58068,58921,79,SW BROADWAY DR,arterial
55405,55526,79,SW CLAY ST,arterial
71610,110531,79,SW GARDEN HOME RD,arterial
32941,33288,150,ST JOHNS BRG,bridge
109313,109315,150,TILIKUM CROSSING BRG,bridge
101143,103418,150,N GOING ST,arterial
34869,34980,150,NE COLUMBIA BLVD,arterial
37670,37902,150,NE COLUMBIA CT,arterial
38593,38673,150,NE LOMBARD ST,arterial
103790,104107,150,NW FRONT AVE,arterial
44036,102118,150,NW WARDWAY ST,arterial
60517,108411,150,S HOOD AVE,arterial
73324,105255,150,SE 162ND AVE,arterial
71352,71549,150,SE 52ND AVE,arterial
55696,55714,150,SE MADISON ST,arterial
68667,68752,150,SE WOODSTOCK BLVD,arterial
55852,56155,150,SW BROADWAY,arterial
62196,62470,150,SW SCHOLLS FERRY RD,arterial
58741,58787,150,SW SHERIDAN ST,arterial
68309,68320,150,SW VERMONT ST,arterial
