node_a,node_b,activation_hour,label,kind
72486,72513,5,SELLWOOD BRG,bridge
109313,109315,5,TILIKUM CROSSING BRG,bridge
27237,27250,5,N HARBORGATE ST,local
29626,102833,5,N ROBERTS AVE,local
38608,38611,5,N WYGANT ST,local
42213,42549,5,NE 102ND AVE,arterial
45633,45943,5,NE 15TH AVE,arterial
45397,45712,5,NE 24TH AVE,arterial
45007,45626,5,NE 54TH AVE,local
44897,102889,5,NE GRAND AVE,arterial
46495,46514,5,NE WEIDLER ST,arterial
65295,65504,5,S MACADAM AVE,arterial
56189,56198,5,SE HAWTHORNE BLVD,arterial
61323,61626,5,SE WAVERLEIGH BLVD,local
110215,110216,5,SW 3RD AVE,arterial
46509,47127,92,BROADWAY BRG,bridge
42823,42840,92,NE ALAMEDA ST,local
41174,41259,92,NE SANDY BLVD,arterial
44664,44725,92,NW CORNELL RD,arterial
32021,32068,92,NW HARBOR BLVD,local
79201,109763,92,S TERWILLIGER BLVD,arterial
54174,54654,92,SE 103RD DR,arterial
70309,70481,92,SE BROOKSIDE DR,local
60023,109195,92,SE GRAND AVE,arterial
62849,62872,92,SE RHINE CT,local
56602,56604,92,SW CANYON CT,local
71610,110531,92,SW GARDEN HOME RD,arterial
32941,33288,130,ST JOHNS BRG,bridge
33579,33883,130,N WAYLAND AVE,local
50681,50691,130,NE COUCH ST,arterial
102116,106224,130,NW WARDWAY ST,arterial
59788,60336,130,SE 35TH AVE,local
63998,64027,130,SE CENTER ST,local
58005,58310,130,SE MARTIN LUTHER KING JR BLVD,arterial
72552,72567,130,SE TACOMA ST,arterial
54063,107222,130,SE WASHINGTON ST,arterial
58939,59136,130,SW COMMONWEALTH AVE,local
58741,58787,130,SW SHERIDAN ST,arterial
77684,77978,130,SW STEPHENSON CT,local
109416,110223,163,N DENVER AVE,arterial
48182,103423,163,N OREGON ST,arterial
43395,43583,163,NE 133RD PL,local
36048,36097,163,NE AIRPORT WAY,arterial
51519,51978,163,NW 48TH AVE,local
102650,109279,163,NW YEON AVE,arterial
58705,101385,163,SE LINCOLN ST,local
101540,101541,163,SE MARIE ST,local
58426,58787,163,SW 4TH AVE,arterial
75212,107594,163,SW CAPITOL HWY,arterial
67422,102269,163,SW VIEW POINT TER,local
100364,100365,214,N ANCHOR WAY,local
42040,42049,214,N STANTON ST,local
106789,106793,214,NE 82ND AVE,arterial
49760,50013,214,NE CESAR E CHAVEZ BLVD,arterial
51824,52176,214,SE 12TH AVE,arterial
74228,74541,214,SE 92ND AVE,arterial
62533,62889,214,SE 9TH AVE,local
100374,100383,214,SE FOSTER RD,arterial
73939,74143,214,SW BARBUR BLVD,arterial
68605,68612,214,SW FLORIDA ST,local
60116,60127,214,SW PORTER ST,local
35381,35529,263,N MENLO AVE,local
48040,107899,263,N MULTNOMAH ST,arterial
38642,39471,263,NE 78TH PL,local
34874,103998,263,NE 82ND WAY,arterial
34711,34716,263,NE FARRAGUT ST,local
40401,40683,263,NW SPENCER ST,local
41077,110429,263,NW THOMPSON RD,arterial
109229,109748,263,SE SPOKANE CT,local
72722,102727,263,SE TENINO ST,arterial
53256,53344,263,SW JEFFERSON ST,arterial
54635,54769,263,SW MARKET ST,arterial
