"lon","lat","inc_date","inc_id","is_vehicle"
"-122.692724","45.536235","2026-07-23","26-150147","No"
"-122.569351","45.491046","2026-07-23","26-150146","Yes"
"-122.692747","45.535534","2026-07-23","26-150133","No"
"-122.661275","45.464119","2026-07-23","26-150131","No"
"-122.524760","45.564920","2026-07-23","26-150130","No"
"-122.660968","45.504883","2026-07-23","26-150129","No"
"-122.511798","45.493764","2026-07-23","26-150127","Yes"
"-122.556447","45.476602","2026-07-23","26-150126","Yes"
"-122.656701","45.515074","2026-07-23","26-150121","No"
"-122.517251","45.504605","2026-07-23","26-150117","Yes"
"-122.679012","45.525912","2026-07-23","26-150115","No"
"-122.550977","45.489784","2026-07-23","26-150109","Yes"
"-122.676232","45.525151","2026-07-23","26-150106","No"
"-122.693891","45.587187","2026-07-23","26-150103","No"
"-122.615495","45.497151","2026-07-23","26-150099","No"
"-122.665969","45.552372","2026-07-23","26-150097","Yes"
"-122.574114","45.495928","2026-07-23","26-150096","Yes"
"-122.686123","45.524321","2026-07-23","26-150092","No"
"-122.686360","45.527874","2026-07-23","26-150089","No"
"-122.687418","45.528570","2026-07-23","26-150088","No"
"-122.687449","45.529281","2026-07-23","26-150087","No"
"-122.679233","45.527291","2026-07-23","26-150086","No"
"-122.625924","45.514681","2026-07-22","26-150076","No"
"-122.676505","45.523238","2026-07-22","26-150075","No"
"-122.563397","45.477171","2026-07-22","26-150073","No"
"-122.639290","45.484040","2026-07-22","26-150072","Yes"
"-122.676230","45.537460","2026-07-22","26-150067","No"
"-122.661617","45.516512","2026-07-22","26-150066","No"
"-122.657263","45.518729","2026-07-22","26-150064","No"
"-122.594455","45.479152","2026-07-22","26-150052","Yes"
"-122.494590","45.503900","2026-07-22","26-150049","No"
"-122.565848","45.504522","2026-07-22","26-150047","No"
"-122.687080","45.536472","2026-07-22","26-150046","No"
"-122.570906","45.467554","2026-07-22","26-150042","Yes"
"-122.592688","45.497566","2026-07-22","26-150035","No"
"-122.525756","45.465212","2026-07-22","26-150033","No"
"-122.578513","45.496779","2026-07-22","26-150032","No"
"-122.580471","45.496889","2026-07-22","26-150029","No"
"-122.570917","45.536758","2026-07-22","26-150027","Yes"
"-122.672980","45.558401","2026-07-22","26-150026","Yes"
"-122.534920","45.522790","2026-07-22","26-150024","No"
"-122.511077","45.504515","2026-07-22","26-150021","No"
"-122.654755","45.518256","2026-07-22","26-150019","No"
"-122.552909","45.475825","2026-07-22","26-150015","No"
"-122.698765","45.527646","2026-07-22","26-150013","No"
"-122.661136","45.566561","2026-07-22","26-150012","No"
"-122.680142","45.524421","2026-07-22","26-150008","No"
"-122.698966","45.540035","2026-07-22","26-150007","No"
"-122.496831","45.502741","2026-07-22","26-150005","Yes"
"-122.667739","45.533954","2026-07-22","26-150000","Yes"
"-122.639060","45.487980","2026-07-22","26-149998","Yes"
"-122.638488","45.528642","2026-07-22","26-149997","Yes"
"-122.671486","45.507083","2026-07-22","26-149995","No"
"-122.491534","45.504583","2026-07-22","26-149986","No"
"-122.583556","45.463284","2026-07-22","26-149983","No"
"-122.580358","45.568157","2026-07-22","26-149980","No"
"-122.690389","45.527087","2026-07-22","26-149978","No"
"-122.622504","45.468276","2026-07-22","26-149977","Yes"
"-122.544422","45.529893","2026-07-22","26-149976","Yes"
"-122.590703","45.480098","2026-07-22","26-149975","Yes"
"-122.592246","45.534424","2026-07-22","26-149973","No"
"-122.667753","45.535029","2026-07-22","26-149971","No"
"-122.508021","45.522768","2026-07-22","26-149962","Yes"
"-122.581270","45.532970","2026-07-22","26-149958","No"
"-122.576421","45.530680","2026-07-22","26-149957","No"
"-122.656251","45.510027","2026-07-22","26-149954","No"
"-122.575074","45.567872","2026-07-22","26-149948","Yes"
"-122.570660","45.469899","2026-07-22","26-149946","No"
"-122.661329","45.515905","2026-07-22","26-149942","No"
"-122.648792","45.487614","2026-07-22","26-149940","No"
"-122.581380","45.483240","2026-07-22","26-149938","No"
"-122.632342","45.532411","2026-07-22","26-149937","No"
"-122.597117","45.477985","2026-07-22","26-149936","Yes"
"-122.711099","45.538543","2026-07-22","26-149931","Yes"
"-122.686544","45.532864","2026-07-22","26-149929","No"
"-122.504701","45.504341","2026-07-22","26-149928","No"
"-122.678039","45.530151","2026-07-22","26-149919","No"
"-122.551526","45.478451","2026-07-22","26-149916","No"
"-122.668147","45.513761","2026-07-22","26-149912","Yes"
"-122.677327","45.521260","2026-07-22","26-149911","No"
"-122.549530","45.481370","2026-07-22","26-149909","Yes"
"-122.597097","45.479799","2026-07-22","26-149905","Yes"
"-122.666877","45.587192","2026-07-22","26-149904","Yes"
"-122.508888","45.503998","2026-07-22","26-149903","No"
"-122.574195","45.466231","2026-07-22","26-149894","No"
"-122.699111","45.526279","2026-07-22","26-149893","No"
"-122.569774","45.556575","2026-07-22","26-149892","Yes"
"-122.606606","45.532352","2026-07-22","26-149888","No"
"-122.597120","45.478865","2026-07-22","26-149883","Yes"
"-122.559590","45.521669","2026-07-22","26-149875","No"
"-122.568342","45.534062","2026-07-22","26-149870","No"
"-122.574034","45.467978","2026-07-22","26-149865","No"
"-122.573572","45.467363","2026-07-22","26-149863","No"
"-122.615332","45.512811","2026-07-22","26-149862","Yes"
"-122.543414","45.530114","2026-07-22","26-149859","Yes"
