shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Arbor_Lodge_Shelter,Arbor Lodge Shelter,1952 N Lombard St,Portland,OR,,-122.686753,45.576626,377,BED_SWEEP_s140_capacity_88x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Do Good Multnomah,,0,88,beds
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,14355 N Bybee Lake Ct,Portland,OR,,-122.757778,45.626297,750,BED_SWEEP_s140_capacity_175x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Helping Hands Reentry,,0,175,beds
Clark_Center,Clark Center,1431 SE Martin Luther King Jr Blvd,Portland,OR,,-122.661942,45.512502,386,BED_SWEEP_s140_capacity_90x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Transition Projects,,0,90,beds
Gresham_Womens_Shelter,Gresham Women's Shelter,16141 E Burnside St,Gresham,OR,,-122.497037,45.522018,386,BED_SWEEP_s140_capacity_90x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Our Just Future,,0,90,beds
Jeans_Place,Jean's Place,18 NE 11th Ave,Portland,OR,,-122.654323,45.523278,257,BED_SWEEP_s140_capacity_60x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Transition Projects,,0,60,beds
Laurelwood_Center,Laurelwood Center,6130 SE Foster Rd,Portland,OR,,-122.600281,45.491148,514,BED_SWEEP_s140_capacity_120x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,,2026-08-31,1,120,beds
River_District_Navigatio,River District Navigation Center,1111 NW Naito Pkwy,Portland,OR,,-122.676937,45.530708,429,BED_SWEEP_s140_capacity_100x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,,2026-08-31,1,100,beds
Walnut_Park_Shelter,Walnut Park Shelter,5329 NE Martin Luther King Jr Blvd,Portland,OR,,-122.661833,45.562279,309,BED_SWEEP_s140_capacity_72x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,,2026-08-31,1,72,beds
Willamette_Center,Willamette Center,5120 SE Milwaukie Ave,Portland,OR,,-122.649327,45.485729,557,BED_SWEEP_s140_capacity_130x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Transition Projects,,1,130,beds
Banfield_Motel_Shelter,Banfield Motel Shelter,1525 NE 37th Ave,Portland,OR,,-122.625558,45.534537,309,BED_SWEEP_s140_capacity_72x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,58,rooms
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,1125 N Schmeer Rd,Portland,OR,,-122.679565,45.590053,326,BED_SWEEP_s140_capacity_76x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,61,rooms
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,9723 NE Sandy Blvd,Portland,OR,,-122.562494,45.558812,643,BED_SWEEP_s140_capacity_150x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,2026-12-31,0,120,rooms
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,121 NE 181st Ave,Gresham,OR,,-122.477620,45.522979,223,BED_SWEEP_s140_capacity_52x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,42,rooms
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,18323 SE Stark St,Gresham,OR,,-122.474369,45.519541,232,BED_SWEEP_s140_capacity_54x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,,0,43,rooms
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,8355 N Interstate Ave,Portland,OR,,-122.685370,45.583337,90,BED_SWEEP_s140_capacity_21x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Do Good Multnomah,,1,17,rooms
