shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Arbor_Lodge_Shelter,Arbor Lodge Shelter,1952 N Lombard St,Portland,OR,,-122.686753,45.576626,88,88_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Do Good Multnomah,,0,88,beds
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,14355 N Bybee Lake Ct,Portland,OR,,-122.757778,45.626297,175,175_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Helping Hands Reentry,,0,175,beds
Clark_Center,Clark Center,1431 SE Martin Luther King Jr Blvd,Portland,OR,,-122.661942,45.512502,90,90_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Transition Projects,,0,90,beds
Gresham_Womens_Shelter,Gresham Women's Shelter,16141 E Burnside St,Gresham,OR,,-122.497037,45.522018,90,90_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Our Just Future,,0,90,beds
Jeans_Place,Jean's Place,18 NE 11th Ave,Portland,OR,,-122.654323,45.523278,60,60_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Transition Projects,,0,60,beds
Laurelwood_Center,Laurelwood Center,6130 SE Foster Rd,Portland,OR,,-122.600281,45.491148,120,120_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,,2026-08-31,1,120,beds
River_District_Navigatio,River District Navigation Center,1111 NW Naito Pkwy,Portland,OR,,-122.676937,45.530708,100,100_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,,2026-08-31,1,100,beds
Walnut_Park_Shelter,Walnut Park Shelter,5329 NE Martin Luther King Jr Blvd,Portland,OR,,-122.661833,45.562279,72,72_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,,2026-08-31,1,72,beds
Willamette_Center,Willamette Center,5120 SE Milwaukie Ave,Portland,OR,,-122.649327,45.485729,130,130_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,congregate,Transition Projects,,1,130,beds
Banfield_Motel_Shelter,Banfield Motel Shelter,1525 NE 37th Ave,Portland,OR,,-122.625558,45.534537,72,58_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,motel,Transition Projects,,0,58,rooms
