shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,14355 N Bybee Lake Ct,Portland,OR,,-122.677609,45.527327,536,SCENARIO_B_capacity_expansion_175x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Helping Hands Reentry,,0,175,beds
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,9723 NE Sandy Blvd,Portland,OR,,-122.674314,45.514205,459,SCENARIO_B_capacity_expansion_150x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Do Good Multnomah,2026-12-31,0,120,rooms
Willamette_Center,Willamette Center,5120 SE Milwaukie Ave,Portland,OR,,-122.689707,45.535665,398,SCENARIO_B_capacity_expansion_130x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,1,130,beds
Lilac_Meadows,Lilac Meadows,7740 SE Powell Blvd,Portland,OR,,-122.670296,45.523109,389,SCENARIO_B_capacity_expansion_127x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,family,Our Just Future,,0,39,rooms
Laurelwood_Center,Laurelwood Center,6130 SE Foster Rd,Portland,OR,,-122.571918,45.465833,368,SCENARIO_B_capacity_expansion_120x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,,2026-08-31,1,120,beds
River_District_Navigatio,River District Navigation Center,1111 NW Naito Pkwy,Portland,OR,,-122.747506,45.590142,306,SCENARIO_B_capacity_expansion_100x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,,2026-08-31,1,100,beds
Clark_Center,Clark Center,1431 SE Martin Luther King Jr Blvd,Portland,OR,,-122.682750,45.584518,276,SCENARIO_B_capacity_expansion_90x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,0,90,beds
Gresham_Womens_Shelter,Gresham Women's Shelter,16141 E Burnside St,Gresham,OR,,-122.544555,45.489718,276,SCENARIO_B_capacity_expansion_90x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Our Just Future,,0,90,beds
Doreens_Place,Doreen's Place (Transition Projects),610 NW Broadway,Portland,OR,,-122.543241,45.555387,276,SCENARIO_B_capacity_expansion_90x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,0,90,beds
Arbor_Lodge_Shelter,Arbor Lodge Shelter,1952 N Lombard St,Portland,OR,,-122.675258,45.500394,270,SCENARIO_B_capacity_expansion_88x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Do Good Multnomah,,0,88,beds
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,1125 N Schmeer Rd,Portland,OR,,-122.574416,45.540881,233,SCENARIO_B_capacity_expansion_76x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Transition Projects,,0,61,rooms
