shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,14355 N Bybee Lake Ct,Portland,OR,,-122.677609,45.527327,175,175_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Helping Hands Reentry,,0,175,beds
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,9723 NE Sandy Blvd,Portland,OR,,-122.674314,45.514205,150,120_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Do Good Multnomah,2026-12-31,0,120,rooms
Willamette_Center,Willamette Center,5120 SE Milwaukie Ave,Portland,OR,,-122.689707,45.535665,130,130_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,1,130,beds
Lilac_Meadows,Lilac Meadows,7740 SE Powell Blvd,Portland,OR,,-122.571918,45.465833,127,39_rooms_x3.25_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,family,Our Just Future,,0,39,rooms
Laurelwood_Center,Laurelwood Center,6130 SE Foster Rd,Portland,OR,,-122.670296,45.523109,120,120_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,,2026-08-31,1,120,beds
River_District_Navigatio,River District Navigation Center,1111 NW Naito Pkwy,Portland,OR,,-122.747506,45.590142,100,100_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,,2026-08-31,1,100,beds
Clark_Center,Clark Center,1431 SE Martin Luther King Jr Blvd,Portland,OR,,-122.544555,45.489718,90,90_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,0,90,beds
Gresham_Womens_Shelter,Gresham Women's Shelter,16141 E Burnside St,Gresham,OR,,-122.682750,45.584518,90,90_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Our Just Future,,0,90,beds
Arbor_Lodge_Shelter,Arbor Lodge Shelter,1952 N Lombard St,Portland,OR,,-122.563081,45.561364,88,88_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Do Good Multnomah,,0,88,beds
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,1125 N Schmeer Rd,Portland,OR,,-122.675258,45.500394,76,61_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Transition Projects,,0,61,rooms
Walnut_Park_Shelter,Walnut Park Shelter,5329 NE Martin Luther King Jr Blvd,Portland,OR,,-122.574416,45.540881,72,72_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,,2026-08-31,1,72,beds
Banfield_Motel_Shelter,Banfield Motel Shelter,1525 NE 37th Ave,Portland,OR,,-122.632787,45.557648,72,58_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Transition Projects,,0,58,rooms
Dignity_Village,Dignity Village,9401 NE Sunderland Ave,Portland,OR,,-122.543241,45.555387,66,60_units_x1.1_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Dignity Village,,0,60,units
Jeans_Place,Jean's Place,18 NE 11th Ave,Portland,OR,,-122.576346,45.541808,60,60_beds_x1.0_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,0,60,beds
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,18323 SE Stark St,Gresham,OR,,-122.521026,45.484303,54,43_rooms_x1.25_per_SHELTER_CAPACITY_AUDIT_s2_RELOCATED_scenarioB,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Do Good Multnomah,,0,43,rooms
