Agent ID,Scenario,Seed,Starting location (encampment ID),Shelter reached,Reached shelter?,Travel time (minutes),Travel distance (metres),Average PM2.5 (ug/m3),Peak PM2.5 (ug/m3),Cumulative PM2.5 dose (ug/m3 x hours),Exposure burden index (ug/m3 x hours),Inhaled PM2.5 dose (micrograms),Health risk score,Walking speed (m/s),Age group,Mobility limitation,Asthma,COPD,Final state
Site 1963,A_placement_current,42,25-156603,OCC,yes,3.0,292.0,17.17,112.1,1357.0,1357.0,831.0,831.0,1.299,25-54,no,no,no,Reached shelter
Site 1983,A_placement_current,42,25-156690,OCC,yes,5.0,407.0,17.19,112.1,1359.0,1359.0,834.0,834.0,1.336,55-69,no,no,no,Reached shelter
Site 680,A_placement_current,42,25-102148,OCC,yes,6.0,761.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.898,25-54,no,no,no,Reached shelter
Site 852,A_placement_current,42,25-112923,OCC,yes,6.0,570.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.377,25-54,no,no,no,Reached shelter
Site 1125,A_placement_current,42,25-123958,OCC,yes,6.0,703.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.794,25-54,no,no,no,Reached shelter
Site 1457,A_placement_current,42,25-112923,OCC,yes,6.0,570.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.443,25-54,no,no,no,Reached shelter
Site 1720,A_placement_current,42,25-123734,OCC,yes,6.0,503.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.278,25-54,no,no,no,Reached shelter
Site 54,A_placement_current,42,25-123958,OCC,yes,7.0,703.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.5,25-54,no,no,no,Reached shelter
Site 664,A_placement_current,42,25-123840,OCC,yes,7.0,642.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.36,25-54,no,no,no,Reached shelter
Site 877,A_placement_current,42,25-134358,OCC,yes,7.0,530.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.154,55-69,no,no,no,Reached shelter
Site 973,A_placement_current,42,25-221992,OCC,yes,7.0,587.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.232,25-54,no,no,no,Reached shelter
Site 989,A_placement_current,42,26-119618,OCC,yes,7.0,594.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.38,25-54,no,no,no,Reached shelter
Site 1382,A_placement_current,42,26-109601,OCC,yes,7.0,595.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.371,25-54,no,no,no,Reached shelter
Site 1681,A_placement_current,42,25-145000,OCC,yes,7.0,715.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.539,25-54,yes,no,no,Reached shelter
Site 1752,A_placement_current,42,25-123792,OCC,yes,7.0,593.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.323,25-54,no,yes,no,Reached shelter
Site 561,A_placement_current,42,25-112905,OCC,yes,8.0,706.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.389,25-54,no,no,no,Reached shelter
Site 562,A_placement_current,42,25-102148,OCC,yes,8.0,761.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.535,25-54,no,no,no,Reached shelter
Site 806,A_placement_current,42,25-112600,OCC,yes,8.0,646.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.259,25-54,no,no,no,Reached shelter
Site 889,A_placement_current,42,25-112673,OCC,yes,8.0,558.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.152,55-69,no,no,no,Reached shelter
Site 1029,A_placement_current,42,26-130246,OCC,yes,8.0,820.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.703,25-54,no,no,no,Reached shelter
Site 1500,A_placement_current,42,25-145300,OCC,yes,8.0,623.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.276,55-69,no,no,no,Reached shelter
Site 1700,A_placement_current,42,25-102519,OCC,yes,8.0,634.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.203,25-54,no,no,no,Reached shelter
Site 265,A_placement_current,42,25-178762,OCC,yes,9.0,900.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.666,55-69,no,no,no,Reached shelter
Site 532,A_placement_current,42,25-190510,OCC,yes,9.0,819.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.491,25-54,no,no,no,Reached shelter
Site 983,A_placement_current,42,26-130246,OCC,yes,9.0,820.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.398,55-69,no,no,no,Reached shelter
Site 1863,A_placement_current,42,25-221992,OCC,yes,9.0,587.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.046,25-54,no,no,no,Reached shelter
Site 28,A_placement_current,42,25-112538,OCC,yes,10.0,901.0,17.23,112.1,1364.0,1364.0,842.0,842.0,1.469,55-69,no,no,no,Reached shelter
Site 244,A_placement_current,42,25-178762,OCC,yes,10.0,900.0,17.23,112.1,1364.0,1364.0,842.0,842.0,1.394,25-54,no,no,no,Reached shelter
Site 1732,A_placement_current,42,25-112604,OCC,yes,10.0,637.0,17.23,112.1,1364.0,1364.0,842.0,842.0,0.979,25-54,yes,no,no,Reached shelter
Site 1736,A_placement_current,42,26-109621,OCC,yes,10.0,962.0,17.23,112.1,1364.0,1364.0,842.0,842.0,1.566,25-54,no,no,no,Reached shelter
Site 468,A_placement_current,42,25-201233,OCC,yes,11.0,1030.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.437,25-54,no,no,no,Reached shelter
Site 472,A_placement_current,42,26-119720,OCC,yes,11.0,906.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.336,55-69,no,no,no,Reached shelter
