agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 11,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123721,CJ,yes,4740,2020-09-10T07:00,5844.0,2020-09-11T01:24,1104.0,11576.54,2993.47,53.68,299.55,5228.7292,429.0717,5228.7292,24.4167,39,0,0,1.0,1.0,SHELTERED,11562.83,13.71,0,A_current_placement,1.6839,39,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 15,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-178967,CJ,yes,4740,2020-09-10T07:00,5845.0,2020-09-11T01:25,1105.0,11394.45,2823.83,53.72,299.55,5233.43,432.7767,5233.43,24.4333,30,0,0,1.0,1.0,SHELTERED,11393.19,1.26,0,A_current_placement,1.68,30,25-54,MALE,0,unimpaired,0,0,0,0
Site 28,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112538,OCC,yes,4740,2020-09-10T07:00,4750.0,2020-09-10T07:10,10.0,901.14,872.32,17.23,112.1,1364.0625,9.9583,1364.0625,6.1833,57,0,0,1.0,1.0,SHELTERED,872.32,28.82,0,A_current_placement,1.469,57,55-69,MALE,0,unimpaired,0,0,0,1
Site 31,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-212115,OCC,yes,4740,2020-09-10T07:00,4754.0,2020-09-10T07:14,14.0,1108.68,1103.61,17.27,112.1,1368.0458,13.9417,1368.0458,6.25,52,0,0,1.0,1.0,SHELTERED,1103.61,5.07,0,A_current_placement,1.3182,52,25-54,MALE,0,unimpaired,0,0,0,0
Site 54,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123958,OCC,yes,4740,2020-09-10T07:00,4747.0,2020-09-10T07:07,7.0,703.22,672.74,17.2,112.1,1361.075,6.9708,1361.075,6.1333,45,0,0,1.0,1.0,SHELTERED,672.74,30.47,0,A_current_placement,1.5002,45,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 55,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-119671,CJ,yes,4740,2020-09-10T07:00,5839.0,2020-09-11T01:19,1099.0,16434.48,7787.23,53.49,299.55,5205.225,449.975,5205.225,24.3333,39,0,1,1.0,1.0,SHELTERED,16356.59,77.89,0,A_current_placement,1.8032,39,25-54,MALE,0,unimpaired,0,1,1,1
Site 80,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123650,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,21239.95,12652.18,53.6,299.55,5219.3275,521.5592,5219.3275,24.3833,58,0,0,1.0,1.0,SHELTERED,21221.54,18.42,0,A_current_placement,1.7264,58,55-69,MALE,0,unimpaired,0,0,0,1
Site 107,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123869,OCC,yes,4740,2020-09-10T07:00,4753.0,2020-09-10T07:13,13.0,1162.9,1147.8,17.26,112.1,1367.05,12.9458,1367.05,6.2333,19,0,1,1.0,1.0,SHELTERED,1147.8,15.1,0,A_current_placement,1.4142,19,18-24,MALE,0,unimpaired,0,1,1,1
Site 110,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112733,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,11586.81,2997.21,53.6,299.55,5219.3275,418.6742,5219.3275,24.3833,28,1,0,1.0,1.0,SHELTERED,11566.57,20.24,0,A_current_placement,1.7366,28,25-54,MALE,0,unimpaired,1,0,1,1
Site 133,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-190308,CJ,yes,4740,2020-09-10T07:00,5843.0,2020-09-11T01:23,1103.0,11951.8,3344.19,53.64,299.55,5224.0283,428.3542,5224.0283,24.4,27,0,0,1.0,1.0,SHELTERED,11913.55,38.25,0,A_current_placement,1.7072,27,25-54,MALE,0,unimpaired,0,0,0,0
