scenario,seed,shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted
A,42,CJ,Charles Jordan Community Center,-122.711387,45.587754,99.0,True,99,99,1824,1.0,16430.13
A,42,OCC,Oregon Convention Center,-122.661771,45.528461,99.0,True,99,99,1923,1.0,1006.99
A,42,MSCC,Mount Scott Community Center,-122.58916,45.482738,,False,0,0,0,,
A,43,CJ,Charles Jordan Community Center,-122.711387,45.587754,99.0,True,99,99,1820,1.0,17034.4
A,43,OCC,Oregon Convention Center,-122.661771,45.528461,99.0,True,99,99,1919,1.0,989.26
A,43,MSCC,Mount Scott Community Center,-122.58916,45.482738,,False,0,0,0,,
A,44,CJ,Charles Jordan Community Center,-122.711387,45.587754,99.0,True,99,99,1827,1.0,15720.15
A,44,OCC,Oregon Convention Center,-122.661771,45.528461,99.0,True,99,99,1926,1.0,970.31
A,44,MSCC,Mount Scott Community Center,-122.58916,45.482738,,False,0,0,0,,
B,42,OPT1,Optimized site 1 (theoretical  street node 49392),-122.6735,45.525975,99.0,True,99,99,1923,1.0,532.78
B,42,OPT2,Optimized site 2 (theoretical  street node 52835),-122.655673,45.519355,99.0,True,99,99,1824,1.0,9879.19
B,43,OPT1,Optimized site 1 (theoretical  street node 49392),-122.6735,45.525975,99.0,True,99,99,1919,1.0,692.16
B,43,OPT2,Optimized site 2 (theoretical  street node 52835),-122.655673,45.519355,99.0,True,99,99,1820,1.0,10918.0
B,44,OPT1,Optimized site 1 (theoretical  street node 49392),-122.6735,45.525975,99.0,True,99,99,1926,1.0,688.8
B,44,OPT2,Optimized site 2 (theoretical  street node 52835),-122.655673,45.519355,99.0,True,99,99,1827,1.0,9298.61
C,42,CJ,Charles Jordan Community Center,-122.711387,45.587754,1018.0,True,1003,1003,0,0.9853,19255.12
C,42,OCC,Oregon Convention Center,-122.661771,45.528461,1019.0,True,1019,1019,1003,1.0,3530.35
C,42,MSCC,Mount Scott Community Center,-122.58916,45.482738,,False,0,0,0,,
C,43,CJ,Charles Jordan Community Center,-122.711387,45.587754,1018.0,True,999,999,0,0.9813,19170.87
C,43,OCC,Oregon Convention Center,-122.661771,45.528461,1019.0,True,1019,1019,999,1.0,3492.93
C,43,MSCC,Mount Scott Community Center,-122.58916,45.482738,,False,0,0,0,,
C,44,CJ,Charles Jordan Community Center,-122.711387,45.587754,1018.0,True,1006,1006,0,0.9882,19120.56
C,44,OCC,Oregon Convention Center,-122.661771,45.528461,1019.0,True,1019,1019,1006,1.0,3481.42
C,44,MSCC,Mount Scott Community Center,-122.58916,45.482738,,False,0,0,0,,
