scenario,seed,stratum,member,n,pct_sheltered,mean_exposure_ugm3h,median_exposure_ugm3h,mean_walking_speed_mps,mean_travel_m,mean_travel_min_sheltered,mean_hours_above_unhealthy,mean_inhaled_dose_ug
A,42,Vulnerable (any),True,966,98.965,4164.9,5280.4,1.192,11905.8,657.5,18.81,3015.79
A,42,Vulnerable (any),False,1071,99.533,3383.4,1438.4,1.394,10652.9,524.6,15.6,2379.42
A,42,Mobility-limited,True,369,98.916,4478.0,5388.6,1.0136,12310.3,733.3,20.14,3352.75
A,42,Mobility-limited,False,1668,99.341,3593.9,1443.9,1.3611,11011.9,555.3,16.45,2532.64
A,42,Asthma,True,290,98.966,4184.4,5264.0,1.3065,12308.9,665.3,18.93,2983.52
A,42,Asthma,False,1747,99.313,3682.6,1446.1,1.2968,11070.8,574.5,16.82,2631.02
A,42,COPD,True,250,99.2,4049.1,5315.7,1.1593,12101.6,658.7,18.41,2939.88
A,42,COPD,False,1787,99.273,3712.8,1447.2,1.3176,11127.5,577.4,16.94,2645.02
A,43,Vulnerable (any),True,988,99.19,3978.8,5266.3,1.1886,11553.6,637.5,18.08,2889.62
A,43,Vulnerable (any),False,1049,98.951,3727.8,1440.6,1.4038,10768.3,537.8,16.86,2593.33
A,43,Mobility-limited,True,381,98.425,4623.0,5365.1,0.9883,11629.3,704.6,20.54,3423.47
A,43,Mobility-limited,False,1656,99.215,3671.6,1443.4,1.371,11038.8,559.2,16.74,2579.11
A,43,Asthma,True,324,100.0,3442.5,5228.7,1.2845,11506.8,603.6,16.08,2516.72
A,43,Asthma,False,1713,98.891,3926.5,1446.1,1.3023,11081.6,582.9,17.71,2778.71
A,43,COPD,True,196,98.98,4132.8,5313.3,1.1521,11577.3,650.8,18.67,2992.87
A,43,COPD,False,1841,99.077,3819.4,1445.0,1.3151,11103.7,579.3,17.32,2709.8
A,44,Vulnerable (any),True,1004,99.402,3873.7,5271.0,1.1717,11471.9,637.5,17.7,2846.15
A,44,Vulnerable (any),False,1033,99.419,3514.0,1440.6,1.3946,10905.1,544.2,16.13,2470.17
A,44,Mobility-limited,True,430,99.767,4064.0,5374.5,0.9736,12162.8,735.7,18.69,3129.52
A,44,Mobility-limited,False,1607,99.315,3591.6,1440.6,1.368,10922.7,551.0,16.42,2528.64
A,44,Asthma,True,318,99.371,3567.3,1438.4,1.2937,10566.1,550.4,16.31,2544.53
A,44,Asthma,False,1719,99.418,3714.2,5224.0,1.2831,11298.9,597.5,17.01,2676.01
A,44,COPD,True,208,100.0,3687.5,5327.4,1.1463,12021.9,670.4,17.19,2738.65
A,44,COPD,False,1829,99.344,3691.7,1446.1,1.3005,11089.3,580.9,16.87,2646.03
B,42,Vulnerable (any),True,966,98.965,3924.3,4939.3,1.192,8712.9,606.8,17.97,2616.48
B,42,Vulnerable (any),False,1071,99.533,3200.3,1445.0,1.394,8105.3,485.1,14.94,2103.65
B,42,Mobility-limited,True,369,98.916,4155.6,4968.0,1.0136,8773.6,664.4,19.01,2822.93
B,42,Mobility-limited,False,1668,99.341,3408.3,1451.7,1.3611,8309.3,515.8,15.8,2241.53
B,42,Asthma,True,290,98.966,4021.3,4934.6,1.3065,9149.3,635.5,18.44,2656.1
B,42,Asthma,False,1747,99.313,3464.3,1453.9,1.2968,8267.9,527.3,16.04,2295.51
B,42,COPD,True,250,99.2,3766.2,4948.9,1.1593,8801.7,595.8,17.37,2517.0
B,42,COPD,False,1787,99.273,3512.5,1456.1,1.3176,8336.3,535.2,16.24,2323.05
B,43,Vulnerable (any),True,988,99.19,3728.9,4934.6,1.1886,8451.5,583.8,17.19,2489.66
B,43,Vulnerable (any),False,1049,98.951,3555.4,1449.5,1.4038,8176.0,501.5,16.26,2321.85
B,43,Mobility-limited,True,381,98.425,4288.0,4958.4,0.9883,8251.1,631.1,19.33,2891.54
B,43,Mobility-limited,False,1656,99.215,3490.3,1451.7,1.371,8323.1,521.0,16.11,2290.91
B,43,Asthma,True,324,100.0,3217.1,4925.0,1.2845,8540.1,555.4,15.27,2159.18
B,43,Asthma,False,1713,98.891,3719.4,1453.9,1.3023,8266.0,538.8,16.98,2449.41
B,43,COPD,True,196,98.98,3855.9,4948.9,1.1521,8410.2,590.1,17.67,2569.7
B,43,COPD,False,1841,99.077,3616.5,1452.8,1.3151,8298.9,536.3,16.61,2385.53
B,44,Vulnerable (any),True,1004,99.402,3613.3,4934.6,1.1717,8408.3,582.1,16.78,2429.11
B,44,Vulnerable (any),False,1033,99.419,3336.7,1447.2,1.3946,8222.6,506.4,15.5,2191.46
B,44,Mobility-limited,True,430,99.767,3670.9,4958.4,0.9736,8592.0,649.1,17.25,2535.97
B,44,Mobility-limited,False,1607,99.315,3420.1,1449.5,1.368,8239.7,515.4,15.83,2247.75
B,44,Asthma,True,318,99.371,3380.2,1445.0,1.2937,7967.9,512.2,15.68,2236.86
B,44,Asthma,False,1719,99.418,3490.2,4925.0,1.2831,8378.1,549.5,16.22,2321.87
B,44,COPD,True,208,100.0,3468.8,4953.7,1.1463,8812.0,627.3,16.47,2344.23
B,44,COPD,False,1829,99.344,3473.5,1451.7,1.3005,8257.5,534.1,16.09,2304.54
