Scenario,Group,How many people,Got indoors,Percent who got indoors,Average walking speed (m/s),Average distance walked (km),Average smoke breathed in (micrograms),Average hours in dangerous air
Shelters where they are now,Everyone,2037,1625,79.8,1.29,11.4,6970,40.3
Shelters where they are now,Trouble walking,391,227,58.1,0.97,13.92,14165,82.1
Shelters where they are now,No trouble walking,1646,1398,84.9,1.36,10.8,5261,30.4
Shelters where they are now,Has COPD,224,155,69.2,1.16,13.73,10479,60.7
Shelters where they are now,No COPD,1813,1470,81.1,1.3,11.11,6536,37.8
Shelters where they are now,Has asthma,296,219,74.0,1.28,12.25,8877,51.4
Shelters where they are now,No asthma,1741,1406,80.8,1.29,11.26,6646,38.4
Shelters where they are now,Chronic condition,786,624,79.4,1.29,11.42,7096,41.0
Shelters where they are now,No chronic condition,1251,1001,80.0,1.28,11.39,6891,39.8
Shelters where they are now,Counted vulnerable,1443,1103,76.4,1.24,11.83,8074,46.7
Shelters where they are now,Not vulnerable,594,522,87.9,1.39,10.35,4288,24.7
Shelters where they are now,Age 18-44,1046,860,82.2,1.32,11.35,6168,35.7
Shelters where they are now,Age 45-64,891,702,78.8,1.27,11.22,7290,42.1
Shelters where they are now,Age 65+,100,63,63.0,1.09,13.53,12516,72.5
Shelters moved to better places,Everyone,2037,1816,89.2,1.29,7.26,3784,21.7
Shelters moved to better places,Trouble walking,391,324,82.9,0.97,7.76,5893,33.9
Shelters moved to better places,No trouble walking,1646,1492,90.6,1.36,7.15,3283,18.7
Shelters moved to better places,Has COPD,224,195,87.1,1.16,7.04,4475,25.7
Shelters moved to better places,No COPD,1813,1621,89.4,1.3,7.29,3698,21.2
Shelters moved to better places,Has asthma,296,267,90.2,1.28,6.3,3431,19.6
Shelters moved to better places,No asthma,1741,1549,89.0,1.29,7.43,3844,22.0
Shelters moved to better places,Chronic condition,786,701,89.2,1.29,7.58,3774,21.6
Shelters moved to better places,No chronic condition,1251,1115,89.1,1.28,7.07,3790,21.7
Shelters moved to better places,Counted vulnerable,1443,1269,87.9,1.24,7.43,4187,24.0
Shelters moved to better places,Not vulnerable,594,547,92.1,1.39,6.86,2804,16.0
Shelters moved to better places,Age 18-44,1046,949,90.7,1.32,6.95,3258,18.6
Shelters moved to better places,Age 45-64,891,785,88.1,1.27,7.37,4131,23.7
Shelters moved to better places,Age 65+,100,82,82.0,1.09,9.57,6185,35.7
