Scenario,Group,People in this group,Share of everyone (%),Got inside,Got inside (%),Turned away,Average walk (metres),Average hours in bad smoke,Average smoke breathed (micrograms),Average walking speed (m/s)
"A - Today (real shelters, real number of beds)",Everyone,6842,100.0,2060,30.1,4766,18260,135.8,23374,1.28
"A - Today (real shelters, real number of beds)",Age 18-44,3612,52.8,1107,30.6,2497,18417,134.7,23194,1.3
"A - Today (real shelters, real number of beds)",Age 45-64,2877,42.0,874,30.4,1996,18158,135.3,23285,1.28
"A - Today (real shelters, real number of beds)",Age 65+,353,5.2,79,22.4,273,17495,150.7,25944,1.06
"A - Today (real shelters, real number of beds)",Male,4691,68.6,1417,30.2,3259,18448,135.6,23342,1.3
"A - Today (real shelters, real number of beds)",Female,2001,29.2,595,29.7,1405,17846,136.5,23496,1.24
"A - Today (real shelters, real number of beds)",Other / not stated,150,2.2,48,32.0,102,17923,132.1,22752,1.27
"A - Today (real shelters, real number of beds)",Has trouble walking,1360,19.9,268,19.7,1089,17231,155.9,26842,0.98
"A - Today (real shelters, real number of beds)",Walks without difficulty,5482,80.1,1792,32.7,3677,18516,130.8,22514,1.36
"A - Today (real shelters, real number of beds)",Has asthma,1011,14.8,295,29.2,713,18516,137.6,23684,1.29
"A - Today (real shelters, real number of beds)",Has COPD,738,10.8,164,22.2,572,18770,151.0,25995,1.15
"A - Today (real shelters, real number of beds)",Long-term physical condition,2712,39.6,819,30.2,1889,18124,135.6,23341,1.28
"A - Today (real shelters, real number of beds)",Counted as more vulnerable,4866,71.1,1371,28.2,3485,18210,139.5,24017,1.24
"B - More beds, in the places we already have",Everyone,6842,100.0,6264,91.6,562,7938,17.5,3056,1.28
"B - More beds, in the places we already have",Age 18-44,3612,52.8,3362,93.1,242,7593,14.6,2547,1.3
"B - More beds, in the places we already have",Age 45-64,2877,42.0,2611,90.8,259,8064,19.1,3321,1.28
"B - More beds, in the places we already have",Age 65+,353,5.2,291,82.4,61,10434,35.3,6104,1.06
"B - More beds, in the places we already have",Male,4691,68.6,4319,92.1,357,7659,16.5,2879,1.3
"B - More beds, in the places we already have",Female,2001,29.2,1812,90.6,188,8527,19.5,3398,1.24
"B - More beds, in the places we already have",Other / not stated,150,2.2,133,88.7,17,8783,23.1,4014,1.27
"B - More beds, in the places we already have",Has trouble walking,1360,19.9,978,71.9,379,11481,55.5,9585,0.98
"B - More beds, in the places we already have",Walks without difficulty,5482,80.1,5286,96.4,183,7059,8.1,1436,1.36
"B - More beds, in the places we already have",Has asthma,1011,14.8,916,90.6,92,8617,19.4,3379,1.29
"B - More beds, in the places we already have",Has COPD,738,10.8,636,86.2,100,9758,28.0,4859,1.15
"B - More beds, in the places we already have",Long-term physical condition,2712,39.6,2470,91.1,238,8008,18.4,3213,1.28
"B - More beds, in the places we already have",Counted as more vulnerable,4866,71.1,4320,88.8,536,8565,22.9,3980,1.24
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Everyone,6842,100.0,6570,96.0,256,5689,8.6,1534,1.28
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Age 18-44,3612,52.8,3496,96.8,108,5350,7.1,1275,1.3
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Age 45-64,2877,42.0,2757,95.8,113,5896,9.0,1603,1.28
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Age 65+,353,5.2,317,89.8,35,7463,20.7,3614,1.06
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Male,4691,68.6,4509,96.1,167,5628,8.4,1500,1.3
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Female,2001,29.2,1919,95.9,81,5754,8.9,1578,1.24
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Other / not stated,150,2.2,142,94.7,8,6713,11.3,1995,1.27
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Has trouble walking,1360,19.9,1166,85.7,191,8189,28.7,4981,0.98
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Walks without difficulty,5482,80.1,5404,98.6,65,5068,3.7,679,1.36
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Has asthma,1011,14.8,968,95.7,40,6306,9.2,1636,1.29
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Has COPD,738,10.8,692,93.8,44,6496,13.1,2296,1.15
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Long-term physical condition,2712,39.6,2598,95.8,110,5793,9.1,1611,1.28
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Counted as more vulnerable,4866,71.1,4606,94.7,250,6175,11.3,1995,1.24
