Encampment report id,Longitude,Latitude,People_starting_here
25-201738,-122.662648,45.536504,8
25-167834,-122.687022,45.51549,8
25-212205,-122.6981,45.53287,8
25-190485,-122.638144,45.528361,8
26-130077,-122.704861,45.539501,8
25-112930,-122.748828,45.590883,8
25-201197,-122.633743,45.516159,7
25-123849,-122.655079,45.535863,7
26-109729,-122.615399,45.504719,7
25-156679,-122.622861,45.499139,7
25-134420,-122.566341,45.527607,7
26-140560,-122.690321,45.536364,7
25-145117,-122.489982,45.486642,7
26-130048,-122.663768,45.521523,7
25-112591,-122.678334,45.55119,7
25-145168,-122.66127,45.565266,7
25-212116,-122.595219,45.493124,6
25-221866,-122.56489,45.483409,6
26-140331,-122.483874,45.486063,6
25-156470,-122.635172,45.464215,6
25-190428,-122.65553,45.521776,6
25-212376,-122.692516,45.586878,6
25-212414,-122.756081,45.585022,6
25-190475,-122.704384,45.613036,6
25-112905,-122.665411,45.525508,6
26-109553,-122.686412,45.529305,6
25-222243,-122.58232,45.48284,6
25-167994,-122.561055,45.475755,6
25-212134,-122.755147,45.584869,6
25-102470,-122.607276,45.483866,6
25-178775,-122.486497,45.490523,6
25-178762,-122.65736,45.52348,6
26-119671,-122.567017,45.5339,6
25-178857,-122.61891,45.537775,6
25-179185,-122.604579,45.493518,6
26-149676,-122.562286,45.51976,6
25-201430,-122.557767,45.555389,6
25-134308,-122.69027,45.528438,6
25-201208,-122.671306,45.532833,6
25-134373,-122.53896,45.504166,6
25-123859,-122.494976,45.494671,6
26-129784,-122.559528,45.526461,6
25-112923,-122.659473,45.532191,6
25-145507,-122.519618,45.560161,6
26-149750,-122.62322,45.50429,6
26-129810,-122.550247,45.478272,6
25-167743,-122.668099,45.514358,6
26-130144,-122.679042,45.562602,6
26-129834,-122.660916,45.536446,6
25-112669,-122.579752,45.519063,6
25-190582,-122.66512,45.59118,6
25-102354,-122.753146,45.584005,5
25-190723,-122.540324,45.48588,5
25-167812,-122.682883,45.556233,5
25-167899,-122.692601,45.517794,5
25-190816,-122.510597,45.504222,5
26-119259,-122.589912,45.535732,5
25-167810,-122.696477,45.610923,5
25-201283,-122.712135,45.544715,5
25-156618,-122.568595,45.466569,5
25-167728,-122.521128,45.51877,5
25-201447,-122.678766,45.526113,5
25-201278,-122.592074,45.480495,5
26-140330,-122.664853,45.515091,5
25-201326,-122.571901,45.514326,5
26-109741,-122.53886,45.49621,5
25-102148,-122.665647,45.525941,5
26-150015,-122.552909,45.475825,5
25-102281,-122.603989,45.533398,5
26-129806,-122.549062,45.53347,5
25-222208,-122.607559,45.497376,5
25-102153,-122.668051,45.512323,5
25-102146,-122.629765,45.490316,5
25-190737,-122.577534,45.532417,5
25-123832,-122.566803,45.49787,5
26-140468,-122.648577,45.516473,5
25-201619,-122.566151,45.482745,5
25-201633,-122.572132,45.51362,5
26-140290,-122.705711,45.562653,5
25-134394,-122.658144,45.518016,5
25-190801,-122.679171,45.563283,5
25-123900,-122.66082,45.553728,5
25-134513,-122.532757,45.554687,5
26-119754,-122.665842,45.51229,5
25-167977,-122.681918,45.516041,5
26-140216,-122.612503,45.497927,5
25-134541,-122.684921,45.516273,5
25-190718,-122.67717,45.516371,5
26-119328,-122.501206,45.502845,5
25-134545,-122.510433,45.517213,5
26-149803,-122.580086,45.531086,5
25-201711,-122.683364,45.529345,5
25-123675,-122.553855,45.489838,5
25-222022,-122.656589,45.521406,5
26-119297,-122.730154,45.585171,5
25-134519,-122.687261,45.528734,5
25-134492,-122.679176,45.531279,5
25-102458,-122.649179,45.487616,5
25-167842,-122.62006,45.570088,5
25-167942,-122.690336,45.525661,5
26-129907,-122.64235,45.459452,5
25-156580,-122.60408,45.49365,5
25-201658,-122.546509,45.519169,5
26-119753,-122.672748,45.521323,5
25-156584,-122.666205,45.50748,5
25-156585,-122.640601,45.487603,5
25-178870,-122.562331,45.523308,5
25-178839,-122.669874,45.522987,5
25-156270,-122.690522,45.532939,5
25-190490,-122.711132,45.538069,5
25-112985,-122.565317,45.531402,5
26-119403,-122.75859,45.60235,5
25-112990,-122.644227,45.526515,5
26-140165,-122.726273,45.594728,5
26-140194,-122.652161,45.522786,5
26-140564,-122.508076,45.52227,5
25-145015,-122.677141,45.507319,5
25-156537,-122.670003,45.468837,5
26-109338,-122.519856,45.475884,5
25-212148,-122.660792,45.505841,5
25-102540,-122.689669,45.511424,5
25-144986,-122.61856,45.57095,5
25-102504,-122.756306,45.589109,5
25-221975,-122.650428,45.529733,5
25-145009,-122.567321,45.490937,5
25-145005,-122.498594,45.548138,5
25-190531,-122.665814,45.517228,5
25-212228,-122.511671,45.498392,5
26-109460,-122.660792,45.505841,5
25-145274,-122.638879,45.460366,5
25-112605,-122.642325,45.475416,5
25-212300,-122.571467,45.479266,5
25-212290,-122.751253,45.564901,5
25-212244,-122.5204,45.493253,5
26-149630,-122.673757,45.521591,5
26-119425,-122.598926,45.492668,5
25-178676,-122.546235,45.547992,5
25-112554,-122.523651,45.547352,5
25-156051,-122.568594,45.464712,5
25-112666,-122.656086,45.514304,5
26-130200,-122.732145,45.588826,5
25-179307,-122.633959,45.51794,5
25-145333,-122.641137,45.529903,5
25-179310,-122.69276,45.56148,5
25-179174,-122.679756,45.510009,5
25-190321,-122.693489,45.515975,5
25-145307,-122.679788,45.586104,5
25-145263,-122.57307,45.5003,5
25-179106,-122.531312,45.51913,5
25-145465,-122.585955,45.490244,5
25-179236,-122.550699,45.516979,5
25-112636,-122.54091,45.504083,5
26-109352,-122.544607,45.533135,5
25-156136,-122.547153,45.54796,5
26-130106,-122.598085,45.532646,5
26-130108,-122.535496,45.480826,5
25-212424,-122.588754,45.535969,5
25-145506,-122.657553,45.535375,5
26-129799,-122.58456,45.53505,5
25-167593,-122.573964,45.468014,5
25-167640,-122.54091,45.504083,5
25-167813,-122.538763,45.53342,5
25-102061,-122.645495,45.522881,5
25-102162,-122.618317,45.502027,5
25-102209,-122.660742,45.517936,5
25-201245,-122.623858,45.489498,5
25-102201,-122.672748,45.521323,5
25-102190,-122.567004,45.489806,5
26-150072,-122.63929,45.48404,5
26-150066,-122.661617,45.516512,5
26-129797,-122.653461,45.545197,4
25-222205,-122.687446,45.58447,4
25-102093,-122.720005,45.573812,4
25-102110,-122.757432,45.585976,4
25-167734,-122.669456,45.540997,4
25-201421,-122.676247,45.530432,4
25-201391,-122.537679,45.531304,4
25-123983,-122.603892,45.497224,4
25-201288,-122.50808,45.522346,4
25-167791,-122.564093,45.46704,4
25-156671,-122.655261,45.511521,4
25-167672,-122.660664,45.498897,4
25-201470,-122.552682,45.498297,4
25-124034,-122.607218,45.522099,4
25-201260,-122.70001,45.57056,4
25-201356,-122.617019,45.534756,4
25-201329,-122.537636,45.533574,4
25-201306,-122.564477,45.467782,4
25-134266,-122.671419,45.519917,4
25-123821,-122.681921,45.577886,4
25-123815,-122.671886,45.518406,4
26-119593,-122.625757,45.51986,4
26-119558,-122.611558,45.498873,4
25-212431,-122.54392,45.476531,4
25-112757,-122.543299,45.533519,4
25-112749,-122.595433,45.488892,4
25-112733,-122.676811,45.508061,4
25-179008,-122.61632,45.463072,4
25-178991,-122.676972,45.522969,4
25-178990,-122.660503,45.498239,4
26-130107,-122.553284,45.477047,4
26-130103,-122.55926,45.477117,4
26-130096,-122.670716,45.533247,4
25-156131,-122.572049,45.468701,4
25-156121,-122.758902,45.589619,4
25-212456,-122.538591,45.555213,4
26-109404,-122.516624,45.499658,4
26-119488,-122.568195,45.561897,4
25-179187,-122.567902,45.497252,4
25-178985,-122.491915,45.550571,4
25-179064,-122.766938,45.643598,4
25-145486,-122.510487,45.527246,4
25-179011,-122.650892,45.494924,4
25-212337,-122.68115,45.589512,4
25-212324,-122.649291,45.490753,4
25-212321,-122.668029,45.580531,4
25-112783,-122.629336,45.496082,4
25-112779,-122.728781,45.467483,4
25-179137,-122.558344,45.520002,4
25-145505,-122.517822,45.56033,4
26-130128,-122.67737,45.51989,4
26-130115,-122.593118,45.483052,4
26-119594,-122.579556,45.482395,4
26-130199,-122.529241,45.566452,4
26-130182,-122.633608,45.497821,4
26-149701,-122.638135,45.573262,4
26-149694,-122.62151,45.53526,4
26-149693,-122.756974,45.592326,4
26-109489,-122.647403,45.523283,4
26-149687,-122.556114,45.532,4
25-145514,-122.53896,45.504166,4
25-156079,-122.675877,45.54316,4
26-130052,-122.65329,45.489972,4
25-212485,-122.671731,45.49321,4
26-109365,-122.492028,45.550484,4
25-112653,-122.65438,45.51165,4
25-178954,-122.657352,45.526764,4
25-112853,-122.734475,45.483563,4
25-112836,-122.622932,45.51579,4
26-109389,-122.499002,45.518128,4
25-112587,-122.584132,45.505423,4
25-156196,-122.605485,45.526258,4
26-119606,-122.53896,45.504166,4
25-179240,-122.557329,45.529885,4
25-145210,-122.555476,45.533876,4
25-145299,-122.579363,45.47679,4
25-212229,-122.605523,45.527176,4
25-112892,-122.590268,45.482557,4
25-112886,-122.676226,45.530399,4
25-112857,-122.537711,45.557205,4
25-190332,-122.638456,45.487072,4
26-130216,-122.675413,45.527393,4
25-179302,-122.76085,45.597407,4
25-179260,-122.67077,45.523852,4
26-119547,-122.704766,45.533947,4
25-145126,-122.514467,45.477329,4
26-119482,-122.687208,45.556245,4
26-130243,-122.618065,45.462002,4
26-130240,-122.622697,45.462921,4
26-130233,-122.576064,45.518746,4
25-145252,-122.691388,45.524773,4
25-212265,-122.660406,45.577964,4
26-109513,-122.602187,45.474039,4
25-178946,-122.667162,45.513675,4
26-119601,-122.581517,45.559227,4
25-178844,-122.554131,45.546813,4
26-119643,-122.57764,45.528416,4
25-156218,-122.657697,45.520797,4
26-109318,-122.557766,45.548106,4
25-221849,-122.541584,45.476582,4
25-221847,-122.548158,45.478177,4
25-221876,-122.530944,45.519304,4
25-221874,-122.674182,45.516453,4
25-145208,-122.673469,45.51999,4
25-190434,-122.596004,45.49027,4
25-190430,-122.560043,45.508031,4
25-190429,-122.658829,45.514706,4
25-190405,-122.686853,45.523213,4
26-140164,-122.547089,45.533467,4
25-145185,-122.692909,45.535305,4
25-145175,-122.562728,45.519797,4
26-140133,-122.603061,45.492701,4
25-212251,-122.508872,45.503722,4
25-112962,-122.517069,45.518508,4
25-112952,-122.661147,45.512725,4
25-112947,-122.603506,45.493594,4
25-145138,-122.580048,45.482231,4
25-190515,-122.686976,45.515696,4
26-140159,-122.657697,45.511941,4
25-145108,-122.629345,45.495943,4
26-119415,-122.662557,45.555372,4
25-212180,-122.587552,45.493879,4
25-112996,-122.535547,45.544527,4
25-112992,-122.673784,45.504987,4
26-119401,-122.687228,45.523575,4
25-156301,-122.494966,45.504574,4
25-156252,-122.647519,45.522888,4
25-156243,-122.69095,45.53394,4
26-119709,-122.6648,45.538109,4
25-156350,-122.57626,45.511926,4
25-156322,-122.593225,45.563783,4
25-156313,-122.678363,45.523574,4
26-119690,-122.683731,45.549118,4
25-102565,-122.662793,45.512181,4
25-221928,-122.66186,45.502695,4
25-212532,-122.6277,45.496952,4
25-212526,-122.556006,45.534096,4
25-212522,-122.529407,45.528821,4
25-212520,-122.611552,45.496732,4
25-123650,-122.571906,45.465127,4
25-144974,-122.660726,45.520079,4
26-140198,-122.689664,45.534946,4
26-140172,-122.556294,45.515419,4
25-212061,-122.67996,45.580065,4
25-212168,-122.689154,45.534996,4
25-123583,-122.566851,45.477501,4
25-123582,-122.68064,45.52503,4
25-123576,-122.568787,45.503074,4
26-140169,-122.663666,45.521526,4
25-190554,-122.551348,45.498142,4
25-190552,-122.658357,45.510039,4
25-134674,-122.64014,45.516957,4
25-190512,-122.580876,45.485419,4
25-190502,-122.674992,45.522597,4
25-190501,-122.683092,45.53412,4
25-212163,-122.670505,45.523097,4
26-109621,-122.660889,45.536414,4
25-123667,-122.692633,45.532755,4
25-123654,-122.725546,45.583125,4
25-102581,-122.685606,45.584493,4
25-178779,-122.559786,45.469616,4
25-178776,-122.646431,45.51705,4
25-168028,-122.65517,45.47723,4
26-129942,-122.657865,45.508931,4
25-102469,-122.686386,45.590169,4
25-201718,-122.686359,45.524743,4
25-212048,-122.693883,45.515211,4
25-123631,-122.686847,45.577065,4
25-123681,-122.649661,45.531888,4
25-190594,-122.563047,45.464525,4
25-134698,-122.507491,45.551902,4
25-190561,-122.655128,45.535713,4
25-178723,-122.687384,45.530443,4
25-178719,-122.674423,45.499324,4
26-129932,-122.624605,45.490658,4
25-221944,-122.629735,45.533747,4
25-222265,-122.552681,45.480404,4
25-102503,-122.53392,45.520367,4
25-156455,-122.564021,45.503948,4
26-119720,-122.664805,45.534663,4
25-156538,-122.583046,45.462057,4
25-221976,-122.510111,45.546249,4
25-167960,-122.754166,45.586241,4
26-140252,-122.558831,45.475769,4
26-140249,-122.645611,45.497445,4
26-119294,-122.581061,45.522826,4
25-134563,-122.694446,45.527012,4
26-119333,-122.570944,45.469556,4
25-134631,-122.684079,45.461237,4
25-201704,-122.635172,45.464215,4
26-140485,-122.682812,45.51495,4
26-140238,-122.640563,45.498729,4
25-134672,-122.529112,45.566839,4
25-134671,-122.544336,45.489618,4
25-190597,-122.510587,45.526463,4
25-123634,-122.713015,45.535309,4
25-212092,-122.674783,45.505884,4
25-201669,-122.643551,45.497365,4
25-201651,-122.562803,45.503524,4
25-123793,-122.656707,45.520712,4
25-123772,-122.718744,45.528844,4
26-140481,-122.594262,45.536649,4
25-134429,-122.689701,45.512725,4
25-134416,-122.673638,45.492861,4
25-134517,-122.566234,45.513449,4
25-156534,-122.696536,45.534251,4
25-156486,-122.667447,45.516668,4
25-167992,-122.54155,45.57103,4
25-221916,-122.584237,45.500082,4
25-222270,-122.537849,45.524375,4
25-102445,-122.659274,45.532173,4
26-149909,-122.54953,45.48137,4
