Scenario,Seed,Git commit,Got inside,Got inside (%),Turned away,Could not reach,Beds left empty,Average walk (m),Average inhaled dose (ug),Person-hours in unhealthy air,Total exposure (ug m-3 h)
A,42,7e1a271,2060.0,30.1,4766.0,16.0,174.0,18260.0,23374.0,928934.0,258641539.0
A,43,7e1a271,2055.0,30.0,4762.0,25.0,179.0,18356.0,23400.0,929924.0,258912202.0
A,44,7e1a271,2056.0,30.0,4762.0,24.0,178.0,18281.0,23395.0,929750.0,258859976.0
A,45,706496d,2055.0,30.0,4771.0,16.0,179.0,18234.0,23399.0,929910.0,258911050.0
A,46,706496d,2053.0,30.0,4773.0,16.0,181.0,17996.0,23405.0,930201.0,259012014.0
A,47,706496d,2053.0,30.0,4771.0,18.0,181.0,18354.0,23410.0,930338.0,259021883.0
A,48,97ebd5d,2053.0,30.0,4766.0,23.0,181.0,18410.0,23410.0,930309.0,259019858.0
A,49,97ebd5d,2064.0,30.2,4764.0,14.0,170.0,18214.0,23357.0,928236.0,258432011.0
A,50,97ebd5d,2055.0,30.0,4767.0,20.0,179.0,18390.0,23402.0,929950.0,258914152.0
B,42,7e1a271,6264.0,91.6,562.0,16.0,578.0,7938.0,3056.0,119921.0,32765083.0
B,43,7e1a271,6259.0,91.5,558.0,25.0,583.0,7939.0,3080.0,120881.0,33034278.0
B,44,7e1a271,6260.0,91.5,558.0,24.0,582.0,8085.0,3077.0,120805.0,32989513.0
B,45,706496d,6259.0,91.5,567.0,16.0,583.0,8120.0,3082.0,120929.0,33039715.0
B,46,706496d,6257.0,91.4,569.0,16.0,585.0,7841.0,3088.0,121188.0,33134453.0
B,47,706496d,6257.0,91.4,567.0,18.0,585.0,7886.0,3088.0,121174.0,33134856.0
B,48,97ebd5d,6257.0,91.4,562.0,23.0,585.0,8002.0,3089.0,121255.0,33140379.0
B,49,97ebd5d,6268.0,91.6,560.0,14.0,574.0,8522.0,3039.0,119155.0,32557100.0
B,50,97ebd5d,6259.0,91.5,563.0,20.0,583.0,7898.0,3080.0,120867.0,33033528.0
C,42,7e1a271,6570.0,96.0,256.0,16.0,272.0,5689.0,1534.0,59060.0,16156745.0
C,43,7e1a271,6565.0,96.0,252.0,25.0,277.0,5198.0,1551.0,59659.0,16399286.0
C,44,7e1a271,6566.0,96.0,252.0,24.0,276.0,5443.0,1551.0,59724.0,16364848.0
C,45,706496d,6565.0,96.0,261.0,16.0,277.0,5637.0,1559.0,60088.0,16429603.0
C,46,706496d,6563.0,95.9,263.0,16.0,279.0,5434.0,1565.0,60244.0,16520544.0
C,47,706496d,6563.0,95.9,261.0,18.0,279.0,5387.0,1564.0,60154.0,16515268.0
C,48,97ebd5d,6563.0,95.9,256.0,23.0,279.0,5603.0,1566.0,60311.0,16525765.0
C,49,97ebd5d,6574.0,96.1,254.0,14.0,268.0,5415.0,1513.0,58189.0,15934738.0
C,50,97ebd5d,6565.0,96.0,257.0,20.0,277.0,5507.0,1558.0,60015.0,16425124.0
A (min over 9 seeds),,,2053.0,30.0,4762.0,14.0,170.0,17996.0,23357.0,928236.0,258432011.0
A (mean over 9 seeds),,,2056.0,30.0,4766.9,19.1,178.0,18277.2,23394.7,929728.0,258858298.3
A (max over 9 seeds),,,2064.0,30.2,4773.0,25.0,181.0,18410.0,23410.0,930338.0,259021883.0
B (min over 9 seeds),,,6257.0,91.4,558.0,14.0,574.0,7841.0,3039.0,119155.0,32557100.0
B (mean over 9 seeds),,,6260.0,91.5,562.9,19.1,582.0,8025.7,3075.4,120686.1,32980989.4
B (max over 9 seeds),,,6268.0,91.6,569.0,25.0,585.0,8522.0,3089.0,121255.0,33140379.0
C (min over 9 seeds),,,6563.0,95.9,252.0,14.0,268.0,5198.0,1513.0,58189.0,15934738.0
C (mean over 9 seeds),,,6566.0,96.0,256.9,19.1,276.0,5479.2,1551.2,59716.0,16363546.8
C (max over 9 seeds),,,6574.0,96.1,263.0,25.0,279.0,5689.0,1566.0,60311.0,16525765.0
