window,arm,seed,mean_dose_ug,walk_dose_ug,rest_dose_ug,identity_violations,sheltered_pct
24,A,42,622.5205432329727,503.6604677889506,118.86008282607425,0,30.10815551008477
24,A,43,624.5507499269219,506.36125879187375,118.18949839637536,0,29.99123063431745
24,A,44,625.7775786612101,507.9705403680211,117.80704543393745,0,30.035077462730197
24,B,42,305.5518386290558,214.78231483776676,90.76954333031277,0,91.55217772581116
24,B,43,305.798137386729,214.67669204530839,91.12146497252267,0,91.04063139432914
24,B,44,307.89773313358666,216.7762884755919,91.12146517757967,0,90.61677871967261
24,C,42,240.85404311604793,150.08452019263373,90.7695409676995,0,92.32680502776965
24,C,43,234.12752920198773,143.0060836688103,91.12146278821982,0,93.46682256650102
24,C,44,239.39486765565624,148.27342341099094,91.12146287737504,0,92.19526454253142
72,A,42,847.9715156971647,503.9689491265712,344.00258872318034,0,30.10815551008477
72,A,43,850.2642020900322,506.7112340546624,343.55298849064593,0,30.035077462730197
72,A,44,851.4203172464191,508.2835711069863,343.13676756153166,0,30.049693072201112
72,B,42,333.34881373867285,215.69652966033323,117.6523004609763,0,91.55217772581116
72,B,43,333.9293781350483,215.74649112803274,118.18290311239403,0,91.47909967845659
72,B,44,335.9964319204911,217.86615275708857,118.13029588146739,0,91.4937152879275
72,C,42,254.64966968722595,151.42640791201407,103.22327588833672,0,96.02455422391114
72,C,43,247.76573691902948,143.87682924115757,103.88892225124232,0,95.95147617655655
72,C,44,253.0972570593394,149.26700033352824,103.83027195483776,0,95.96609178602748
312,A,42,23373.347471528796,503.9689491265712,22869.37854245016,0,30.10815551008477
312,A,43,23399.19241148787,506.7112340546624,22892.481196456152,0,30.035077462730197
312,A,44,23395.638076220403,508.2835711069863,22887.354524679333,0,30.049693072201112
312,B,42,3055.98940372698,215.69652966033323,2840.292890434669,0,91.55217772581116
312,B,43,3080.122222376498,215.74649112803274,2864.375747324613,0,91.47909967845659
312,B,44,3077.4788253142356,217.86615275708857,2859.612689245981,0,91.4937152879275
312,C,42,1535.892300306928,151.42640791201407,1384.4659064641924,0,96.02455422391114
312,C,43,1552.560621748027,143.87682924115757,1408.6838070656245,0,95.95147617655655
312,C,44,1553.1816910406314,149.26700033352824,1403.9147059215145,0,95.96609178602748
