agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 0,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-167975,CJ,yes,960,2020-09-07T16:00,1121,2020-09-07T18:41,161.0,12553.66,3973.36,20.35,112.10,380.1783,233.3950,380.1783,2.7000,,,,1.000,1.000,SHELTERED,12542.72,10.94,1
Site 1,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-222229,,no,960,2020-09-07T16:00,,,,13206.59,13179.00,173.09,562.70,54002.8192,250.2100,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13179.00,27.58,1
Site 2,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-179260,OCC,yes,960,2020-09-07T16:00,977,2020-09-07T16:17,17.0,1329.44,1291.76,10.45,82.50,170.1583,23.3750,170.1583,0.3000,,,,1.000,1.000,SHELTERED,1291.76,37.68,0
Site 3,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-149715,CJ,yes,960,2020-09-07T16:00,1119,2020-09-07T18:39,159.0,12445.46,3823.05,20.18,112.10,376.4417,229.6583,376.4417,2.6667,,,,1.000,1.000,SHELTERED,12392.41,53.04,1
Site 4,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-167871,,no,960,2020-09-07T16:00,,,,21034.01,12463.40,173.09,562.70,54002.8192,362.2983,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,21032.76,1.25,2
Site 5,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-140306,,no,960,2020-09-07T16:00,,,,19322.01,10722.51,173.09,562.70,54002.8192,339.7850,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,19291.87,30.14,2
Site 6,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-123572,OCC,yes,960,2020-09-07T16:00,985,2020-09-07T16:25,25.0,2014.09,1984.76,11.04,82.50,181.1583,34.3750,181.1583,0.4333,,,,1.000,1.000,SHELTERED,1984.76,29.34,0
Site 7,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-145307,CJ,yes,960,2020-09-07T16:00,1000,2020-09-07T16:40,40.0,3176.64,3041.21,12.11,82.50,201.7833,55.0000,201.7833,0.6833,,,,1.000,1.000,SHELTERED,3041.21,135.43,0
Site 8,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-167592,OCC,yes,960,2020-09-07T16:00,987,2020-09-07T16:27,27.0,2167.28,2161.22,11.18,82.50,183.9083,37.1250,183.9083,0.4667,,,,1.000,1.000,SHELTERED,2161.22,6.06,0
Site 9,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-130108,,no,960,2020-09-07T16:00,,,,13574.32,13558.54,173.09,562.70,54002.8192,259.5517,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13558.54,15.78,1
