agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state
Site 0,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-167975,OCC,yes,960,2020-09-07T16:00,1011,2020-09-07T16:51,51.0,3984.30,3973.36,12.87,82.50,216.9083,70.1250,216.9083,0.8667,,,,1.000,1.000,SHELTERED
Site 1,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-222229,OCC,yes,960,2020-09-07T16:00,1129,2020-09-07T18:49,169.0,13206.59,13179.00,21.00,112.10,395.1250,248.3417,395.1250,2.8333,,,,1.000,1.000,SHELTERED
Site 2,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-179260,OCC,yes,960,2020-09-07T16:00,977,2020-09-07T16:17,17.0,1329.44,1291.76,10.45,82.50,170.1583,23.3750,170.1583,0.3000,,,,1.000,1.000,SHELTERED
Site 3,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-149715,OCC,yes,960,2020-09-07T16:00,1009,2020-09-07T16:49,49.0,3876.10,3823.05,12.73,82.50,214.1583,67.3750,214.1583,0.8333,,,,1.000,1.000,SHELTERED
Site 4,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-167871,OCC,yes,960,2020-09-07T16:00,1119,2020-09-07T18:39,159.0,12464.65,12463.40,20.18,112.10,376.4417,229.6583,376.4417,2.6667,,,,1.000,1.000,SHELTERED
Site 5,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-140306,OCC,yes,960,2020-09-07T16:00,1097,2020-09-07T18:17,137.0,10752.65,10722.51,18.34,112.10,335.3383,188.5550,335.3383,2.3000,,,,1.000,1.000,SHELTERED
Site 6,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-123572,OCC,yes,960,2020-09-07T16:00,985,2020-09-07T16:25,25.0,2014.09,1984.76,11.04,82.50,181.1583,34.3750,181.1583,0.4333,,,,1.000,1.000,SHELTERED
Site 7,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-145307,CJ,yes,960,2020-09-07T16:00,1000,2020-09-07T16:40,40.0,3176.64,3041.21,12.11,82.50,201.7833,55.0000,201.7833,0.6833,,,,1.000,1.000,SHELTERED
Site 8,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-167592,OCC,yes,960,2020-09-07T16:00,987,2020-09-07T16:27,27.0,2167.28,2161.22,11.18,82.50,183.9083,37.1250,183.9083,0.4667,,,,1.000,1.000,SHELTERED
Site 9,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-130108,OCC,yes,960,2020-09-07T16:00,1134,2020-09-07T18:54,174.0,13574.32,13558.54,21.40,112.10,404.4667,257.6833,404.4667,2.9167,,,,1.000,1.000,SHELTERED
Site 10,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-178796,OCC,yes,960,2020-09-07T16:00,1151,2020-09-07T19:11,191.0,14960.81,14943.74,22.23,112.10,426.5183,279.7350,426.5183,3.2000,,,,1.000,1.000,SHELTERED
Site 11,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-123721,OCC,yes,960,2020-09-07T16:00,998,2020-09-07T16:38,38.0,3007.17,2993.47,11.97,82.50,199.0333,52.2500,199.0333,0.6500,,,,1.000,1.000,SHELTERED
Site 12,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-212228,OCC,yes,960,2020-09-07T16:00,1142,2020-09-07T19:02,182.0,14230.82,14176.07,21.91,112.10,416.9858,270.2025,416.9858,3.0500,,,,1.000,1.000,SHELTERED
Site 13,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-112763,OCC,yes,960,2020-09-07T16:00,1172,2020-09-07T19:32,212.0,16540.55,16527.76,22.97,112.10,448.7608,301.9775,448.7608,3.5500,,,,1.000,1.000,SHELTERED
Site 14,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-150129,OCC,yes,960,2020-09-07T16:00,994,2020-09-07T16:34,34.0,2654.96,2653.70,11.68,82.50,193.5333,46.7500,193.5333,0.5833,,,,1.000,1.000,SHELTERED
Site 15,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-178967,OCC,yes,960,2020-09-07T16:00,996,2020-09-07T16:36,36.0,2825.09,2823.83,11.82,82.50,196.2833,49.5000,196.2833,0.6167,,,,1.000,1.000,SHELTERED
Site 16,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-109302,OCC,yes,960,2020-09-07T16:00,1127,2020-09-07T18:47,167.0,13053.78,12973.56,20.84,112.10,391.3883,244.6050,391.3883,2.8000,,,,1.000,1.000,SHELTERED
Site 17,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-167738,OCC,yes,960,2020-09-07T16:00,1054,2020-09-07T17:34,94.0,7369.70,7358.04,15.42,82.50,270.9583,124.1750,270.9583,1.5833,,,,1.000,1.000,SHELTERED
