agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 0,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-190596,OCC,yes,4740,2020-09-10T07:00,4761,2020-09-10T07:21,21.0,1966.72,1928.33,17.33,112.10,1375.0167,20.9125,1375.0167,6.3667,37,0,1,1.000,1.000,SHELTERED,1928.33,38.39,0,A_placement_current,1.5445,37,25-54,MALE,0,unimpaired,0,1,1,1,48.7570,0.6145,859.8818,1.000,859.8818
Site 1,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-167596,CJ,yes,4740,2020-09-10T07:00,5938,2020-09-11T02:58,1198.0,19005.86,10419.43,57.26,299.55,5666.9692,1120.9475,5666.9692,25.9833,43,0,0,1.000,1.000,SHELTERED,18988.79,17.06,0,A_placement_current,0.8023,43,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,67.0188,0.6772,4589.0082,1.000,4589.0082
Site 2,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-109654,OCC,yes,4740,2020-09-10T07:00,4758,2020-09-10T07:18,18.0,1571.25,1530.32,17.30,112.10,1372.0292,17.9250,1372.0292,6.3167,35,0,0,1.000,1.000,SHELTERED,1530.32,40.93,0,A_placement_current,1.3837,35,25-54,MALE,0,unimpaired,0,0,0,0,48.6760,0.6138,855.0420,1.000,855.0420
Site 3,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-123950,CJ,yes,4740,2020-09-10T07:00,5861,2020-09-11T01:41,1121.0,22652.69,14067.21,54.35,299.55,5308.6433,681.9350,5308.6433,24.7000,50,1,0,1.000,1.000,SHELTERED,22636.57,16.12,0,A_placement_current,1.4069,50,25-54,MALE,0,unimpaired,1,0,1,1,64.0982,0.6562,3927.0268,1.000,3927.0268
Site 4,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-140497,OCC,yes,4740,2020-09-10T07:00,4777,2020-09-10T07:37,37.0,2840.59,2829.49,17.47,112.10,1390.9500,36.8458,1390.9500,6.6333,29,0,0,1.000,1.000,SHELTERED,2829.49,11.10,0,A_placement_current,1.2571,29,25-54,MALE,0,unimpaired,0,0,0,0,49.1890,0.6178,885.6938,1.000,885.6938
Site 5,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-134632,OCC,yes,4740,2020-09-10T07:00,4827,2020-09-10T08:27,87.0,7393.10,7357.09,17.95,112.10,1443.9150,89.8108,1443.9150,7.4667,42,0,0,1.000,1.000,SHELTERED,7357.09,36.01,0,A_placement_current,1.4101,42,25-54,MALE,0,unimpaired,0,0,0,0,50.5390,0.6282,971.4971,1.000,971.4971
Site 6,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-102239,CJ,yes,4740,2020-09-10T07:00,5860,2020-09-11T01:40,1120.0,20585.37,12014.75,54.31,299.55,5303.9425,635.2442,5303.9425,24.6833,42,0,0,1.000,1.000,SHELTERED,20584.11,1.26,0,A_placement_current,1.4250,42,25-54,MALE,0,unimpaired,0,0,0,0,63.6335,0.6515,3877.0015,1.000,3877.0015
Site 7,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-222052,OCC,yes,4740,2020-09-10T07:00,4793,2020-09-10T07:53,53.0,5188.55,5118.40,17.61,112.10,1406.8833,52.7792,1406.8833,6.9000,35,0,0,1.000,1.000,SHELTERED,5118.40,70.15,0,A_placement_current,1.6056,35,25-54,MALE,0,unimpaired,0,0,0,0,49.6210,0.6212,911.5058,1.000,911.5058
Site 8,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-190339,OCC,yes,4740,2020-09-10T07:00,4753,2020-09-10T07:13,13.0,1458.71,1427.65,17.26,112.10,1367.0500,12.9458,1367.0500,6.2333,40,0,0,1.000,1.000,SHELTERED,1427.65,31.07,0,A_placement_current,1.7758,40,25-54,FEMALE,0,unimpaired,0,0,0,0,48.5410,0.6128,846.9758,1.000,846.9758
Site 9,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-109372,CJ,yes,4740,2020-09-10T07:00,5844,2020-09-11T01:24,1104.0,21062.25,12449.10,53.68,299.55,5228.7292,532.5758,5228.7292,24.4167,45,0,0,1.000,1.000,SHELTERED,21018.46,43.79,0,A_placement_current,1.6865,45,25-54,MALE,0,unimpaired,0,0,0,0,62.9153,0.6459,3727.4264,1.000,3727.4264
Site 10,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-134250,OCC,yes,4740,2020-09-10T07:00,4773,2020-09-10T07:33,33.0,1737.76,1692.52,17.44,112.10,1386.9667,32.8625,1386.9667,6.5667,39,0,0,1.000,1.000,SHELTERED,1692.52,45.24,0,A_placement_current,0.8529,39,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,49.0810,0.6170,879.2408,1.000,879.2408
Site 11,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-167942,OCC,yes,4740,2020-09-10T07:00,4773,2020-09-10T07:33,33.0,2690.49,2689.19,17.44,112.10,1386.9667,32.8625,1386.9667,6.5667,40,0,1,1.000,1.000,SHELTERED,2689.19,1.30,0,A_placement_current,1.3375,40,25-54,FEMALE,0,unimpaired,0,1,1,1,49.0810,0.6170,879.2408,1.000,879.2408
Site 12,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-109429,CJ,yes,4740,2020-09-10T07:00,5854,2020-09-11T01:34,1114.0,16967.46,8345.40,54.07,299.55,5275.7375,542.6708,5275.7375,24.5833,49,1,0,1.000,1.000,SHELTERED,16914.76,52.70,0,A_placement_current,1.5060,49,25-54,MALE,0,unimpaired,1,0,1,1,62.6635,0.6423,3766.2974,1.000,3766.2974
Site 13,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-156113,OCC,yes,4740,2020-09-10T07:00,4798,2020-09-10T07:58,58.0,5182.13,5180.88,17.66,112.10,1411.8625,57.7583,1411.8625,6.9833,47,0,0,1.000,1.000,SHELTERED,5180.88,1.25,0,A_placement_current,1.4825,47,25-54,FEMALE,0,unimpaired,0,0,0,0,49.7560,0.6222,919.5720,1.000,919.5720
Site 14,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-167616,OCC,yes,4740,2020-09-10T07:00,4802,2020-09-10T08:02,62.0,5919.90,5918.60,17.69,112.10,1416.1858,62.0817,1416.1858,7.0500,46,0,0,1.000,1.000,SHELTERED,5918.60,1.30,0,A_placement_current,1.5710,46,25-54,MALE,0,unimpaired,0,0,0,0,49.8640,0.6230,926.5758,1.000,926.5758
