agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 0,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-167975,OPT1,yes,4740,2020-09-10T07:00,4798,2020-09-10T07:58,58.0,4254.65,4243.71,17.66,112.10,1411.8625,57.7583,1411.8625,6.9833,41,1,1,1.000,1.000,SHELTERED,4243.71,10.94,0,B_placement_optimized,1.2031,41,25-54,MALE,0,unimpaired,1,1,1,1,49.7560,0.6222,919.5720,1.000,919.5720
Site 1,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-222229,OPT2,yes,4740,2020-09-10T07:00,5797,2020-09-11T00:37,1057.0,15932.38,13810.97,51.81,299.55,5006.1767,511.4150,5006.1767,23.6333,29,0,0,1.000,1.000,SHELTERED,15904.80,27.58,0,B_placement_optimized,0.9270,29,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,63.7505,0.6598,3570.2969,1.000,3570.2969
Site 2,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-179260,OPT1,yes,4740,2020-09-10T07:00,4750,2020-09-10T07:10,10.0,515.96,478.28,17.23,112.10,1364.0625,9.9583,1364.0625,6.1833,33,0,0,1.000,1.000,SHELTERED,478.28,37.68,0,B_placement_optimized,0.8257,33,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,48.4600,0.6121,842.1360,1.000,842.1360
Site 3,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-149715,OPT1,yes,4740,2020-09-10T07:00,4785,2020-09-10T07:45,45.0,3059.10,3006.06,17.54,112.10,1398.9167,44.8125,1398.9167,6.7667,35,0,0,1.000,1.000,SHELTERED,3006.06,53.04,0,B_placement_optimized,1.1114,35,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,49.4050,0.6195,898.5998,1.000,898.5998
Site 4,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-167871,OPT2,yes,4740,2020-09-10T07:00,5790,2020-09-11T00:30,1050.0,14973.15,12878.08,51.53,299.55,4972.7575,381.5625,4972.7575,23.5167,60,1,1,1.000,1.000,SHELTERED,14971.90,1.25,0,B_placement_optimized,1.1402,60,55-69,FEMALE,1,ambulant_impaired_no_aid,1,1,1,1,62.5515,0.6482,3418.7602,1.000,3418.7602
Site 5,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-140306,OPT2,yes,4740,2020-09-10T07:00,5784,2020-09-11T00:24,1044.0,14047.18,11923.22,51.29,299.55,4944.1125,272.1842,4944.1125,23.4167,31,0,0,1.000,1.000,SHELTERED,14017.04,30.14,0,B_placement_optimized,1.4420,31,25-54,MALE,0,unimpaired,0,0,0,0,61.5478,0.6385,3290.8146,1.000,3290.8146
Site 6,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-123572,OPT1,yes,4740,2020-09-10T07:00,4749,2020-09-10T07:09,9.0,885.49,856.16,17.22,112.10,1363.0667,8.9625,1363.0667,6.1667,36,0,0,1.000,1.000,SHELTERED,856.16,29.34,0,B_placement_optimized,1.5555,36,25-54,MALE,0,unimpaired,0,0,0,0,48.4330,0.6119,840.5228,1.000,840.5228
Site 7,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-145307,OPT2,yes,4740,2020-09-10T07:00,5820,2020-09-11T01:00,1080.0,9404.29,7175.04,52.74,299.55,5115.9092,561.8208,5115.9092,24.0167,38,1,0,1.000,1.000,SHELTERED,9268.86,135.43,0,B_placement_optimized,0.5774,38,25-54,MALE,1,ambulant_impaired_no_aid,1,0,1,1,63.7487,0.6572,3688.1436,1.000,3688.1436
Site 8,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-167592,OPT1,yes,4740,2020-09-10T07:00,4780,2020-09-10T07:40,40.0,3329.28,3323.22,17.50,112.10,1393.9375,39.8333,1393.9375,6.6833,44,0,0,1.000,1.000,SHELTERED,3323.22,6.06,0,B_placement_optimized,1.3813,44,25-54,MALE,0,unimpaired,0,0,0,0,49.2700,0.6185,890.5335,1.000,890.5335
Site 9,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-130108,OPT2,yes,4740,2020-09-10T07:00,5809,2020-09-11T00:49,1069.0,16082.82,13973.22,52.30,299.55,5063.4667,710.3133,5063.4667,23.8333,26,0,1,1.000,1.000,SHELTERED,16067.04,15.78,0,B_placement_optimized,0.7088,26,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1,65.4212,0.6757,3806.1311,1.000,3806.1311
