agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 0,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201488,,no,4740,2020-09-10T07:00,,,,16511.70,14330.94,173.09,562.70,54002.8192,310.9442,54002.8192,194.0000,25,0,0,1.000,1.000,REFUSED_ALL_FULL,16424.77,86.93,1,B_optimized_placement,1.4744,25,25-54,MALE,0,unimpaired,0,0,0,0
Site 1,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-123824,,no,4740,2020-09-10T07:00,,,,8755.96,6627.22,173.09,562.70,54002.8192,305.6133,54002.8192,194.0000,38,0,0,1.000,1.000,REFUSED_ALL_FULL,8721.05,34.91,1,B_optimized_placement,0.9430,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 2,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-178775,,no,4740,2020-09-10T07:00,,,,19836.42,17593.48,173.09,562.70,54002.8192,479.5725,54002.8192,194.0000,19,0,0,1.000,1.000,REFUSED_ALL_FULL,19687.30,149.11,1,B_optimized_placement,1.1853,19,18-24,FEMALE,0,unimpaired,0,0,0,0
Site 3,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-140279,OPT2,yes,4740,2020-09-10T07:00,5778,2020-09-11T00:18,1038.0,13469.10,11336.47,51.04,299.55,4915.4675,193.4925,4915.4675,23.3167,33,0,1,1.000,1.000,SHELTERED,13430.30,38.80,0,B_optimized_placement,1.8482,33,25-54,MALE,0,unimpaired,0,1,1,1
Site 4,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-109677,,no,4740,2020-09-10T07:00,,,,8871.94,6753.07,173.09,562.70,54002.8192,201.4008,54002.8192,194.0000,54,0,0,1.000,1.000,REFUSED_ALL_FULL,8846.90,25.04,1,B_optimized_placement,1.4232,54,25-54,MALE,0,unimpaired,0,0,0,0
Site 5,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-123734,,no,4740,2020-09-10T07:00,,,,3471.32,1348.43,173.09,562.70,54002.8192,124.7433,54002.8192,194.0000,42,0,0,1.000,1.000,REFUSED_ALL_FULL,3442.25,29.07,1,B_optimized_placement,1.5416,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 6,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-130103,,no,4740,2020-09-10T07:00,,,,14011.46,11868.64,173.09,562.70,54002.8192,264.1092,54002.8192,194.0000,38,0,0,1.000,1.000,REFUSED_ALL_FULL,13962.47,48.99,1,B_optimized_placement,1.4933,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 7,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-156567,,no,4740,2020-09-10T07:00,,,,6618.28,4477.39,173.09,562.70,54002.8192,173.1292,54002.8192,194.0000,36,0,1,1.000,1.000,REFUSED_ALL_FULL,6571.21,47.07,1,B_optimized_placement,1.4119,36,25-54,MALE,0,unimpaired,0,1,1,1
Site 8,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-167986,OPT2,yes,4740,2020-09-10T07:00,5780,2020-09-11T00:20,1040.0,4924.45,2795.83,51.12,299.55,4925.0158,123.3667,4925.0158,23.3500,59,0,0,1.000,1.000,SHELTERED,4889.66,34.79,0,B_optimized_placement,1.6889,59,55-69,MALE,0,unimpaired,0,0,0,1
Site 9,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-102237,,no,4740,2020-09-10T07:00,,,,13644.12,11508.15,173.09,562.70,54002.8192,693.5125,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,13601.98,42.14,1,B_optimized_placement,0.6324,43,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 10,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-119305,,no,4740,2020-09-10T07:00,,,,12541.84,10446.77,173.09,562.70,54002.8192,289.6658,54002.8192,194.0000,30,0,0,1.000,1.000,REFUSED_ALL_FULL,12540.60,1.25,1,B_optimized_placement,1.2691,30,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 11,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-119547,,no,4740,2020-09-10T07:00,,,,5225.69,3130.60,173.09,562.70,54002.8192,194.8033,54002.8192,194.0000,66,0,0,1.000,1.000,REFUSED_ALL_FULL,5224.43,1.26,1,B_optimized_placement,1.1306,66,55-69,MALE,0,unimpaired,0,0,0,1
Site 12,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-140556,,no,4740,2020-09-10T07:00,,,,7392.68,5271.51,173.09,562.70,54002.8192,227.8275,54002.8192,194.0000,19,0,0,1.000,1.000,REFUSED_ALL_FULL,7365.34,27.35,1,B_optimized_placement,1.1356,19,18-24,MALE,0,unimpaired,0,0,0,0
Site 13,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-212049,,no,4740,2020-09-10T07:00,,,,10638.26,8540.53,173.09,562.70,54002.8192,195.9517,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,10634.35,3.91,1,B_optimized_placement,1.6210,29,25-54,MALE,0,unimpaired,0,0,0,0
Site 14,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-123751,,no,4740,2020-09-10T07:00,,,,15537.28,13379.70,173.09,562.70,54002.8192,355.8808,54002.8192,194.0000,49,0,0,1.000,1.000,REFUSED_ALL_FULL,15473.52,63.76,1,B_optimized_placement,1.2574,49,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 15,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-130081,,no,4740,2020-09-10T07:00,,,,13880.66,11742.87,173.09,562.70,54002.8192,315.5058,54002.8192,194.0000,26,0,0,1.000,1.000,REFUSED_ALL_FULL,13836.69,43.96,1,B_optimized_placement,1.2797,26,25-54,MALE,0,unimpaired,0,0,0,0
Site 16,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-212199,,no,4740,2020-09-10T07:00,,,,14397.84,12251.76,173.09,562.70,54002.8192,275.4142,54002.8192,194.0000,41,0,0,1.000,1.000,REFUSED_ALL_FULL,14345.59,52.25,1,B_optimized_placement,1.4578,41,25-54,MALE,0,unimpaired,0,0,0,0
Site 17,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-167646,,no,4740,2020-09-10T07:00,,,,15238.44,13112.39,173.09,562.70,54002.8192,396.0167,54002.8192,194.0000,25,1,0,1.000,1.000,REFUSED_ALL_FULL,15206.22,32.22,1,B_optimized_placement,1.1264,25,25-54,MALE,0,unimpaired,1,0,1,1
Site 18,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-222180,,no,4740,2020-09-10T07:00,,,,8861.44,6766.33,173.09,562.70,54002.8192,236.0258,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,8860.16,1.28,1,B_optimized_placement,1.2100,39,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 19,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-109598,,no,4740,2020-09-10T07:00,,,,4062.67,1961.93,173.09,562.70,54002.8192,136.4883,54002.8192,194.0000,34,0,0,1.000,1.000,REFUSED_ALL_FULL,4055.75,6.92,1,B_optimized_placement,1.5150,34,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 20,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-134269,,no,4740,2020-09-10T07:00,,,,6171.27,4076.15,173.09,562.70,54002.8192,167.1542,54002.8192,194.0000,27,0,0,1.000,1.000,REFUSED_ALL_FULL,6169.98,1.29,1,B_optimized_placement,1.4409,27,25-54,MALE,0,unimpaired,0,0,0,0
Site 21,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-134537,,no,4740,2020-09-10T07:00,,,,3813.36,1681.27,173.09,562.70,54002.8192,223.8292,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,3775.09,38.26,1,B_optimized_placement,0.8759,29,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 22,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149766,,no,4740,2020-09-10T07:00,,,,11204.20,9101.47,173.09,562.70,54002.8192,249.7700,54002.8192,194.0000,62,1,0,1.000,1.000,REFUSED_ALL_FULL,11195.29,8.91,1,B_optimized_placement,1.3210,62,55-69,MALE,0,unimpaired,1,0,1,1
Site 23,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-221864,,no,4740,2020-09-10T07:00,,,,13538.92,11431.33,173.09,562.70,54002.8192,227.0083,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,13525.16,13.76,1,B_optimized_placement,1.6517,37,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 24,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-212393,,no,4740,2020-09-10T07:00,,,,3992.18,1897.10,173.09,562.70,54002.8192,170.1125,54002.8192,194.0000,49,0,0,1.000,1.000,REFUSED_ALL_FULL,3990.93,1.25,1,B_optimized_placement,1.1764,49,25-54,MALE,0,unimpaired,0,0,0,0
Site 25,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-178938,,no,4740,2020-09-10T07:00,,,,15169.92,13074.83,173.09,562.70,54002.8192,349.4208,54002.8192,194.0000,34,1,0,1.000,1.000,REFUSED_ALL_FULL,15168.65,1.27,1,B_optimized_placement,1.2522,34,25-54,MALE,0,unimpaired,1,0,1,1
Site 26,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-156554,,no,4740,2020-09-10T07:00,,,,14482.35,12287.29,173.09,562.70,54002.8192,273.7992,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,14381.12,101.23,1,B_optimized_placement,1.4832,43,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 27,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-167737,,no,4740,2020-09-10T07:00,,,,5995.56,3900.47,173.09,562.70,54002.8192,185.4600,54002.8192,194.0000,41,0,0,1.000,1.000,REFUSED_ALL_FULL,5994.30,1.26,1,B_optimized_placement,1.2574,41,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 28,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-109714,,no,4740,2020-09-10T07:00,,,,8088.64,5931.82,173.09,562.70,54002.8192,343.4425,54002.8192,194.0000,23,0,0,1.000,1.000,REFUSED_ALL_FULL,8025.65,62.99,1,B_optimized_placement,0.8082,23,18-24,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 29,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-129965,,no,4740,2020-09-10T07:00,,,,13425.91,11277.09,173.09,562.70,54002.8192,296.1967,54002.8192,194.0000,28,0,0,1.000,1.000,REFUSED_ALL_FULL,13370.91,55.00,1,B_optimized_placement,1.3111,28,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 30,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201278,OPT2,yes,4740,2020-09-10T07:00,5780,2020-09-11T00:20,1040.0,12086.13,9976.63,51.12,299.55,4925.0158,197.4950,4925.0158,23.3500,48,0,0,1.000,1.000,SHELTERED,12070.46,15.67,0,B_optimized_placement,1.7001,48,25-54,MALE,0,unimpaired,0,0,0,0
