agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 0,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-201488,CJ,yes,4740,2020-09-10T07:00,5856,2020-09-11T01:36,1116.0,22282.12,13625.83,54.15,299.55,5285.1392,640.6658,5285.1392,24.6167,25,0,0,1.000,1.000,SHELTERED,22195.19,86.93,0,C_capacity_neutral_demonstration,1.4744,25,25-54,MALE,0,unimpaired,0,0,0,0
Site 1,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-123824,CJ,yes,4740,2020-09-10T07:00,5911,2020-09-11T02:31,1171.0,14030.79,5426.52,56.25,299.55,5541.7117,813.0817,5541.7117,25.5333,38,0,0,1.000,1.000,SHELTERED,13995.88,34.91,0,C_capacity_neutral_demonstration,0.9430,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 2,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-178775,CJ,yes,4740,2020-09-10T07:00,5880,2020-09-11T02:00,1140.0,25606.84,16888.36,55.08,299.55,5397.8975,888.9458,5397.8975,25.0167,19,0,0,1.000,1.000,SHELTERED,25457.72,149.11,0,C_capacity_neutral_demonstration,1.1853,19,18-24,FEMALE,0,unimpaired,0,0,0,0
Site 3,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,26-140279,CJ,yes,4740,2020-09-10T07:00,5849,2020-09-11T01:29,1109.0,20087.65,11479.49,53.88,299.55,5252.2333,549.6200,5252.2333,24.5000,33,0,1,1.000,1.000,SHELTERED,20048.85,38.80,0,C_capacity_neutral_demonstration,1.6032,33,25-54,MALE,0,unimpaired,0,1,1,1
Site 4,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,26-109677,OCC,yes,4740,2020-09-10T07:00,4805,2020-09-10T08:05,65.0,5577.41,5552.37,17.73,112.10,1419.5133,65.4092,1419.5133,7.1000,54,0,0,1.000,1.000,SHELTERED,5552.37,25.04,0,C_capacity_neutral_demonstration,1.4232,54,25-54,MALE,0,unimpaired,0,0,0,0
Site 5,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-123734,OCC,yes,4740,2020-09-10T07:00,4745,2020-09-10T07:05,5.0,502.86,473.79,17.19,112.10,1359.0833,4.9792,1359.0833,6.1000,42,0,0,1.000,1.000,SHELTERED,473.79,29.07,0,C_capacity_neutral_demonstration,1.5416,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 6,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,26-130103,CJ,yes,4740,2020-09-10T07:00,5855,2020-09-11T01:35,1115.0,20072.32,11453.97,54.11,299.55,5280.4383,592.3600,5280.4383,24.6000,38,0,0,1.000,1.000,SHELTERED,20023.33,48.99,0,C_capacity_neutral_demonstration,1.4933,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 7,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-156567,OCC,yes,4740,2020-09-10T07:00,4798,2020-09-10T07:58,58.0,4270.44,4223.37,17.66,112.10,1411.8625,57.7583,1411.8625,6.9833,36,0,1,1.000,1.000,SHELTERED,4223.37,47.07,0,C_capacity_neutral_demonstration,1.2247,36,25-54,MALE,0,unimpaired,0,1,1,1
Site 8,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-167986,OCC,yes,4740,2020-09-10T07:00,4763,2020-09-10T07:23,23.0,2393.15,2358.35,17.35,112.10,1377.0083,22.9042,1377.0083,6.4000,59,0,0,1.000,1.000,SHELTERED,2358.35,34.79,0,C_capacity_neutral_demonstration,1.6889,59,55-69,MALE,0,unimpaired,0,0,0,1
Site 9,sim-20260725-233218-seed44,6616232434c84b43ee9551f9ba3f5419cf021cb3,44,da72d6c6f93b,25-102237,CJ,yes,4740,2020-09-10T07:00,5985,2020-09-11T03:45,1245.0,19704.98,11093.48,58.94,299.55,5879.6817,1455.8700,5879.6817,26.7667,43,0,0,1.000,1.000,SHELTERED,19662.84,42.14,0,C_capacity_neutral_demonstration,0.6324,43,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
