agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 0,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-167975,,no,4740,2020-09-10T07:00,,,,12553.66,3973.36,173.09,562.70,54002.8192,619.4925,54002.8192,194.0000,41,1,1,1.000,1.000,REFUSED_ALL_FULL,12542.72,10.94,1,HISTORICAL_capacity_reference_not_a_scenario,1.2031,41,25-54,MALE,0,unimpaired,1,1,1,1,193.2658,0.6194,33567.4071,1.000,33567.4071
Site 1,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-222229,,no,4740,2020-09-10T07:00,,,,21775.95,13179.00,173.09,562.70,54002.8192,1048.1267,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,21748.36,27.58,1,HISTORICAL_capacity_reference_not_a_scenario,0.9270,29,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,196.9355,0.6312,34000.3276,1.000,34000.3276
Site 2,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-179260,,no,4740,2020-09-10T07:00,,,,9898.80,1291.76,173.09,562.70,54002.8192,841.1283,54002.8192,194.0000,33,0,0,1.000,1.000,REFUSED_ALL_FULL,9861.12,37.68,1,HISTORICAL_capacity_reference_not_a_scenario,0.8257,33,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,193.6867,0.6208,33791.2593,1.000,33791.2593
Site 3,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-149715,,no,4740,2020-09-10T07:00,,,,12445.46,3823.05,173.09,562.70,54002.8192,668.8717,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,12392.41,53.04,1,HISTORICAL_capacity_reference_not_a_scenario,1.1114,35,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,193.4847,0.6201,33617.2801,1.000,33617.2801
Site 4,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-167871,,no,4740,2020-09-10T07:00,,,,21034.01,12463.40,173.09,562.70,54002.8192,824.8575,54002.8192,194.0000,60,1,1,1.000,1.000,REFUSED_ALL_FULL,21032.76,1.25,1,HISTORICAL_capacity_reference_not_a_scenario,1.1402,60,55-69,FEMALE,1,ambulant_impaired_no_aid,1,1,1,1,195.5215,0.6267,33774.8258,1.000,33774.8258
Site 5,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-140306,,no,4740,2020-09-10T07:00,,,,19322.01,10722.51,173.09,562.70,54002.8192,609.4042,54002.8192,194.0000,31,0,0,1.000,1.000,REFUSED_ALL_FULL,19291.87,30.14,1,HISTORICAL_capacity_reference_not_a_scenario,1.4420,31,25-54,MALE,0,unimpaired,0,0,0,0,194.1075,0.6221,33557.2179,1.000,33557.2179
Site 6,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-123572,,no,4740,2020-09-10T07:00,,,,10583.45,1984.76,173.09,562.70,54002.8192,458.7117,54002.8192,194.0000,36,0,0,1.000,1.000,REFUSED_ALL_FULL,10554.12,29.34,1,HISTORICAL_capacity_reference_not_a_scenario,1.5555,36,25-54,MALE,0,unimpaired,0,0,0,0,192.2390,0.6162,33405.0185,1.000,33405.0185
Site 7,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-145307,,no,4740,2020-09-10T07:00,,,,15545.10,6840.31,173.09,562.70,54002.8192,1411.6067,54002.8192,194.0000,38,1,0,1.000,1.000,REFUSED_ALL_FULL,15409.67,135.43,1,HISTORICAL_capacity_reference_not_a_scenario,0.5774,38,25-54,MALE,1,ambulant_impaired_no_aid,1,0,1,1,197.8950,0.6343,34367.4424,1.000,34367.4424
Site 8,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-167592,,no,4740,2020-09-10T07:00,,,,10736.64,2161.22,173.09,562.70,54002.8192,520.1008,54002.8192,194.0000,44,0,0,1.000,1.000,REFUSED_ALL_FULL,10730.58,6.06,1,HISTORICAL_capacity_reference_not_a_scenario,1.3813,44,25-54,MALE,0,unimpaired,0,0,0,0,192.5252,0.6171,33467.0215,1.000,33467.0215
Site 9,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-130108,,no,4740,2020-09-10T07:00,,,,22143.68,13558.54,173.09,562.70,54002.8192,1403.6592,54002.8192,194.0000,26,0,1,1.000,1.000,REFUSED_ALL_FULL,22127.90,15.78,1,HISTORICAL_capacity_reference_not_a_scenario,0.7088,26,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1,199.1070,0.6382,34359.4155,1.000,34359.4155
