shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,88,true,88,88,1223,1.0000,1408.13
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,175,true,175,175,3937,1.0000,23123.19
Clark_Center,Clark Center,-122.661942,45.512502,90,true,90,90,313,1.0000,402.78
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,90,true,0,0,0,0.0000,
Jeans_Place,Jean's Place,-122.654323,45.523278,60,true,60,60,300,1.0000,350.16
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,120,true,120,120,538,1.0000,716.37
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,100,true,100,100,886,1.0000,633.40
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,72,true,72,72,282,1.0000,873.14
Willamette_Center,Willamette Center,-122.649327,45.485729,130,true,130,130,585,1.0000,789.21
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,72,true,72,72,179,1.0000,495.65
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,76,true,76,76,20,1.0000,941.61
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,150,true,150,150,712,1.0000,1260.75
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,52,true,3,3,0,0.0577,3876.19
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,54,true,14,14,0,0.2593,24140.34
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,21,true,21,21,14,1.0000,250.13
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,20,true,20,20,500,1.0000,2967.24
Avalon_Village,Avalon Village,-122.647011,45.504545,11,true,11,11,333,1.0000,726.41
Beacon_Village,Beacon Village,-122.585163,45.527605,11,true,11,11,185,1.0000,247.91
Dignity_Village,Dignity Village,-122.635880,45.590779,66,true,66,66,3800,1.0000,7331.04
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,42,true,42,42,203,1.0000,1010.38
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,21,true,21,21,19,1.0000,624.73
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,32,true,32,32,128,1.0000,263.55
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,11,true,11,11,255,1.0000,342.11
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,11,true,11,11,31,1.0000,503.17
St_Johns_Village,St Johns Village,-122.750203,45.590193,21,true,21,21,188,1.0000,401.52
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,127,true,127,127,386,1.0000,939.91
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,30,true,30,30,309,1.0000,306.88
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,30,true,30,30,42,1.0000,469.63
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,33,true,33,33,189,1.0000,255.01
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,61,true,61,61,362,1.0000,9674.36
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,66,true,66,66,168,1.0000,782.94
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,42,true,42,42,239,1.0000,366.64
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,38,true,38,38,163,1.0000,490.43
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,90,true,90,90,58,1.0000,342.70
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,55,true,55,55,658,1.0000,415.30
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,66,true,66,66,164,1.0000,868.27
