shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,270,true,270,270,374,1.0000,8506.91
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,536,true,536,536,494,1.0000,37030.57
Clark_Center,Clark Center,-122.661942,45.512502,276,true,276,276,120,1.0000,575.51
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,276,true,0,0,0,0.0000,
Jeans_Place,Jean's Place,-122.654323,45.523278,184,true,184,184,194,1.0000,501.01
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,368,true,368,368,314,1.0000,1753.21
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,306,true,306,306,117,1.0000,1466.68
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,220,true,220,220,554,1.0000,2492.36
Willamette_Center,Willamette Center,-122.649327,45.485729,398,true,398,398,197,1.0000,2569.90
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,220,true,220,220,20,1.0000,1299.70
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,233,true,233,233,145,1.0000,9458.58
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,459,true,459,459,980,1.0000,3510.60
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,159,true,7,7,0,0.0440,3874.59
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,165,true,19,19,0,0.1152,24094.43
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,64,true,64,64,89,1.0000,6336.44
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,61,true,61,61,34,1.0000,12147.64
Avalon_Village,Avalon Village,-122.647011,45.504545,34,true,34,34,240,1.0000,850.31
Beacon_Village,Beacon Village,-122.585163,45.527605,34,true,34,34,157,1.0000,649.20
Dignity_Village,Dignity Village,-122.635880,45.590779,202,true,202,202,860,1.0000,16066.66
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,129,true,129,129,321,1.0000,1662.25
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,64,true,64,64,76,1.0000,6883.77
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,98,true,98,98,125,1.0000,1140.79
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,34,true,34,34,217,1.0000,524.99
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,34,true,34,34,4,1.0000,1141.73
St_Johns_Village,St Johns Village,-122.750203,45.590193,64,true,64,64,108,1.0000,675.98
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,389,true,389,389,328,1.0000,2533.35
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,92,true,92,92,227,1.0000,535.76
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,92,true,92,92,90,1.0000,999.64
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,101,true,101,101,120,1.0000,454.42
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,187,true,187,187,129,1.0000,18995.88
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,202,true,202,202,619,1.0000,2641.99
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,129,true,129,129,170,1.0000,525.91
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,116,true,116,116,170,1.0000,747.69
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,276,true,276,276,412,1.0000,1481.52
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,168,true,168,168,593,1.0000,1334.58
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,202,true,202,202,188,1.0000,1828.17
