shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted,policy_refused
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,132,true,132,132,226,1.0000,3097.40,0
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,262,true,262,262,216,1.0000,39475.07,0
Clark_Center,Clark Center,-122.661942,45.512502,135,true,135,135,189,1.0000,435.49,0
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,135,true,0,0,0,0.0000,,0
Jeans_Place,Jean's Place,-122.654323,45.523278,90,true,90,90,252,1.0000,391.09,0
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,180,true,180,180,110,1.0000,818.83,0
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,150,true,150,150,117,1.0000,1298.57,0
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,108,true,108,108,77,1.0000,1321.40,0
Willamette_Center,Willamette Center,-122.649327,45.485729,195,true,195,195,58,1.0000,1341.75,0
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,108,true,108,108,143,1.0000,624.62,0
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,114,true,114,114,277,1.0000,11275.70,0
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,225,true,225,225,159,1.0000,3128.96,0
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,78,true,3,3,0,0.0385,3873.69,0
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,81,true,19,19,0,0.2346,24794.67,0
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,32,true,32,32,52,1.0000,1654.51,0
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,30,true,30,30,0,1.0000,6804.60,0
Avalon_Village,Avalon Village,-122.647011,45.504545,16,true,16,16,236,1.0000,791.39,0
Beacon_Village,Beacon Village,-122.585163,45.527605,16,true,16,16,153,1.0000,426.98,0
Dignity_Village,Dignity Village,-122.635880,45.590779,99,true,99,99,519,1.0000,16899.48,0
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,63,true,63,63,102,1.0000,1109.53,0
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,32,true,32,32,6,1.0000,706.16,0
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,48,true,48,48,120,1.0000,365.72,0
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,16,true,16,16,176,1.0000,391.81,0
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,16,true,16,16,25,1.0000,653.67,0
St_Johns_Village,St Johns Village,-122.750203,45.590193,32,true,32,32,176,1.0000,416.00,0
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,190,true,190,190,200,1.0000,1041.97,0
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,45,true,45,45,158,1.0000,531.22,0
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,45,true,45,45,0,1.0000,963.59,0
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,50,true,50,50,31,1.0000,359.51,0
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,92,true,92,92,47,1.0000,18084.28,0
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,99,true,99,99,167,1.0000,1413.13,0
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,63,true,63,63,261,1.0000,372.45,0
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,57,true,57,57,5,1.0000,549.79,0
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,135,true,135,135,53,1.0000,729.25,0
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,82,true,82,82,398,1.0000,647.28,0
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,99,true,99,99,76,1.0000,995.78,0
NEW_optimized_site_01,Proposed clean-air shelter 1 (optimized location),-122.684239,45.525066,350,true,350,350,99,1.0000,3597.26,0
NEW_optimized_site_02,Proposed clean-air shelter 2 (optimized location),-122.674314,45.514205,350,true,350,350,58,1.0000,2748.64,0
NEW_optimized_site_03,Proposed clean-air shelter 3 (optimized location),-122.685357,45.536118,349,true,349,349,121,1.0000,2175.53,0
NEW_optimized_site_04,Proposed clean-air shelter 4 (optimized location),-122.544555,45.489718,349,true,349,349,170,1.0000,1887.10,0
NEW_optimized_site_05,Proposed clean-air shelter 5 (optimized location),-122.574416,45.540881,349,true,349,349,573,1.0000,4514.35,0
NEW_optimized_site_06,Proposed clean-air shelter 6 (optimized location),-122.686929,45.585790,349,true,349,349,183,1.0000,13197.33,0
NEW_optimized_site_07,Proposed clean-air shelter 7 (optimized location),-122.675258,45.500394,349,true,349,349,88,1.0000,3627.81,0
NEW_optimized_site_08,Proposed clean-air shelter 8 (optimized location),-122.571918,45.465833,349,true,349,349,349,1.0000,1872.20,0
NEW_optimized_site_09,Proposed clean-air shelter 9 (optimized location),-122.543241,45.555387,349,true,349,349,361,1.0000,3719.80,0
NEW_optimized_site_10,Proposed clean-air shelter 10 (optimized location),-122.673484,45.519995,349,true,349,349,195,1.0000,1728.19,0
