agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 0,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-167975,-122.681054,45.556943,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,28,1,1,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.0761,28,18-44,MALE,0,unimpaired,1,1,1,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,2.024158,0,0,0,0
Site 1,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-222229,-122.527433,45.497222,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,59,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.6663,59,45-64,MALE,0,unimpaired,0,0,0,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.705888,0,0,0,0
Site 2,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-179260,-122.670770,45.523852,Doreens_Place,yes,7080,2020-09-11T22:00,7090,2020-09-11T22:10,10.0,935.50,897.82,358.03,1328.80,42307.4292,137.8500,42307.4292,75.1833,61,0,0,1.000,1.000,SHELTERED,897.82,37.68,0,E18_severe_counterfactual_over_A_present_day,1.4512,61,45-64,MALE,0,unimpaired,0,0,0,0,1,72.2500,0.6114,25946.7603,1.000,25946.7603,1,0,1,0,0,0.237415,0,0,0,0
Site 3,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-149715,-122.697930,45.540541,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,74,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.0838,74,65+,FEMALE,0,unimpaired,0,0,0,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,1,0,0,-0.082060,0,0,0,0
Site 4,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-167871,-122.568606,45.463927,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,25,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3864,25,18-44,FEMALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,0.852058,0,0,0,0
Site 5,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-140306,-122.538081,45.557645,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,77,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,0.7639,77,65+,MALE,1,ambulant_impaired_no_aid,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,1,0,-0.089325,0,0,0,0
Site 6,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-123572,-122.675985,45.519410,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,56,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.2949,56,45-64,MALE,0,unimpaired,0,0,0,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,1,0,0,0.988523,0,0,0,0
Site 7,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-145307,-122.679788,45.586104,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,32,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3940,32,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,0.511636,0,0,0,0
Site 8,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-167592,-122.637441,45.527457,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,60,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.0986,60,45-64,MALE,1,ambulant_impaired_no_aid,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,1.062683,0,0,0,0
Site 9,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-130108,-122.535496,45.480826,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,46,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.2342,46,45-64,FEMALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.253688,0,0,0,0
