shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted,policy_refused
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,88,true,88,88,760,1.0000,1335.39,0
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,175,true,175,175,3905,1.0000,19921.27,0
Clark_Center,Clark Center,-122.661942,45.512502,90,true,90,90,274,1.0000,374.20,0
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,90,true,0,0,0,0.0000,,0
Jeans_Place,Jean's Place,-122.654323,45.523278,60,true,60,60,282,1.0000,313.51,0
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,120,true,120,120,539,1.0000,644.89,0
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,100,true,100,100,719,1.0000,602.52,0
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,72,true,72,72,324,1.0000,996.39,0
Willamette_Center,Willamette Center,-122.649327,45.485729,130,true,130,130,829,1.0000,936.17,0
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,72,true,72,72,179,1.0000,519.62,0
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,76,true,76,76,16,1.0000,1274.56,0
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,150,true,150,150,800,1.0000,1275.44,0
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,52,true,3,3,0,0.0577,3873.69,0
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,54,true,19,19,0,0.3519,24794.67,0
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,21,true,21,21,22,1.0000,247.66,0
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,20,true,20,20,437,1.0000,2722.97,0
Avalon_Village,Avalon Village,-122.647011,45.504545,11,true,11,11,343,1.0000,737.95,0
Beacon_Village,Beacon Village,-122.585163,45.527605,11,true,11,11,191,1.0000,314.96,0
Dignity_Village,Dignity Village,-122.635880,45.590779,66,true,66,66,4147,1.0000,7906.57,0
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,42,true,42,42,191,1.0000,928.44,0
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,21,true,21,21,28,1.0000,373.80,0
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,32,true,32,32,126,1.0000,220.38,0
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,11,true,11,11,269,1.0000,339.09,0
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,11,true,11,11,30,1.0000,476.56,0
St_Johns_Village,St Johns Village,-122.750203,45.590193,21,true,21,21,187,1.0000,332.14,0
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,127,true,127,127,242,1.0000,722.84,0
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,30,true,30,30,296,1.0000,365.73,0
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,30,true,30,30,50,1.0000,585.58,0
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,33,true,33,33,182,1.0000,303.92,0
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,61,true,61,61,246,1.0000,8029.86,0
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,66,true,66,66,189,1.0000,926.18,0
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,42,true,42,42,282,1.0000,294.81,0
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,38,true,38,38,180,1.0000,448.14,0
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,90,true,90,90,42,1.0000,274.79,0
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,55,true,55,55,689,1.0000,497.23,0
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,66,true,66,66,171,1.0000,838.60,0
