name,address,city,facility_type,capacity,capacity_unit,population_served,provider,status,closure_date,priority_vulnerable,pets_allowed,source
Arbor Lodge Shelter,1952 N Lombard St,Portland,congregate,88,beds,adults all genders individuals and couples,Do Good Multnomah,open,,0,0,hsd_list_2026-07
Bybee Lakes Hope Center,14355 N Bybee Lake Ct,Portland,congregate,175,beds,men women and families with children,Helping Hands Reentry,open,,0,0,hsd_list_2026-07
Clark Center,1431 SE Martin Luther King Jr Blvd,Portland,congregate,90,beds,men,Transition Projects,open,,0,0,hsd_list_2026-07
Doreen's Place,610 NW Broadway St,Portland,congregate,90,beds,men,Transition Projects,open,,0,0,hsd_list_2026-07
Gresham Women's Shelter,16141 E Burnside St,Gresham,congregate,90,beds,women,Our Just Future,open,,0,0,hsd_list_2026-07
Jean's Place,18 NE 11th Ave,Portland,congregate,60,beds,women,Transition Projects,open,,0,0,hsd_list_2026-07
Laurelwood Center,6130 SE Foster Rd,Portland,congregate,120,beds,women and couples,,closing,2026-08-31,1,1,hsd_list_2026-07
River District Navigation Center,1111 NW Naito Pkwy,Portland,congregate,100,beds,men women and couples,,closing,2026-08-31,1,1,hsd_list_2026-07
Walnut Park Shelter,5329 NE Martin Luther King Jr Blvd,Portland,congregate,72,beds,women men and couples,,closing,2026-08-31,1,1,hsd_list_2026-07
Willamette Center,5120 SE Milwaukie Ave,Portland,congregate,130,beds,women non-binary couples and pets,Transition Projects,open,,1,1,hsd_list_2026-07
Banfield Motel Shelter,1525 NE 37th Ave,Portland,motel,58,rooms,adults all genders,Transition Projects,open,,0,0,hsd_list_2026-07
Delta Park Motel Shelter,1125 N Schmeer Rd,Portland,motel,61,rooms,adults all genders,Transition Projects,open,,0,0,hsd_list_2026-07
Roseway Inn Motel Shelter,9723 NE Sandy Blvd,Portland,motel,120,rooms,adults all genders,Do Good Multnomah,closing,2026-12-31,0,0,hsd_list_2026-07
Rockwood Bridge Shelter,121 NE 181st Ave,Gresham,motel,42,rooms,adults individuals and couples,Transition Projects,open,,0,0,hsd_list_2026-07
Stark Street Motel Shelter,18323 SE Stark St,Gresham,motel,43,rooms,adults all genders,Do Good Multnomah,open,,0,0,hsd_list_2026-07
Thayer Family Foundation Veterans Motel Shelter,8355 N Interstate Ave,Portland,motel,17,rooms,veterans 18+,Do Good Multnomah,open,,1,0,hsd_list_2026-07
Arbor Lodge Village Pods,1952 N Lombard St,Portland,village,18,units,women and non-binary,Do Good Multnomah,open,,1,0,hsd_list_2026-07
Avalon Village,2539 SE 19th Ave,Portland,village,10,units,adults,WeShine PDX,open,,0,0,hsd_list_2026-07
Beacon Village,621 NE 76th Ave,Portland,village,10,units,adults,Beacon Village,closing,2026-08-31,0,0,hsd_list_2026-07
Dignity Village,9401 NE Sunderland Ave,Portland,village,60,units,adults individuals and couples,Dignity Village,open,,0,0,hsd_list_2026-07
Harrison Community Village,1818 SE 82nd Ave,Portland,village,38,units,adults 18+,Do Good Multnomah,open,,0,0,hsd_list_2026-07
Kenton Women's Village,2420 N Columbia Blvd,Portland,village,19,units,women,Catholic Charities of Oregon,open,,1,0,hsd_list_2026-07
Oak Street Village,333 SE 82nd Ave,Portland,village,29,units,adults,Straightway Services,open,,0,0,hsd_list_2026-07
Parkrose Community Village,12505 NE Halsey St,Portland,village,10,units,adults,WeShine,open,,0,0,hsd_list_2026-07
St Andrews Village,7600 N Hereford Ave,Portland,village,10,units,adults,WeShine,open,,0,0,hsd_list_2026-07
St Johns Village,8005 N Richmond Ave,Portland,village,19,units,men women and couples,Do Good Multnomah,open,,0,0,hsd_list_2026-07
Lilac Meadows,7740 SE Powell Blvd,Portland,family,39,rooms,families with children,Our Just Future,open,,0,0,hsd_list_2026-07
Porch Light Youth Shelter,1635 SW Alder St,Portland,youth,30,beds,youth 16-24,Janus Youth Programs,open,,0,0,hsd_list_2026-07
Street Light Youth Shelter,1635 SW Alder St,Portland,youth,30,beds,youth 16-24,Janus Youth Programs,open,,0,0,hsd_list_2026-07
Behavioral Health Resource Center,333 SW Park Ave,Portland,other,33,beds,adults with behavioral health needs,Do Good Multnomah,open,,0,0,hsd_list_2026-07
Bud Clark Commons Resource Center,650 NW Irving St,Portland,day_center,,,adults,Transition Projects,open,,0,0,hsd_daycenters_2025-10
Operation Nightwatch,1432 SW 13th Ave,Portland,day_center,,,adults,Operation Nightwatch,open,,0,0,hsd_daycenters_2025-10
Marie Equi Center,4434 SE 25th Ave,Portland,day_center,,,trans and queer adults,Marie Equi Center,open,,0,0,hsd_daycenters_2025-10
North Portland Drop-In Center,9000 N Lombard St,Portland,day_center,,,adults,Do Good Multnomah,open,,0,0,hsd_daycenters_2025-10
HIV Day Center,2914 NE Ainsworth St,Portland,day_center,,,people living with HIV/AIDS,Ecumenical Ministries of Oregon,open,,1,0,hsd_daycenters_2025-10
