# websim SPIKE WP2-S1 geodesic Direct fixture
# library=GeographicLib-Java version=1.49 jar=repast.simphony.gis_2.11.0/lib/GeographicLib-Java-1.49.jar
# jvm=OpenJDK 64-Bit Server VM 17.0.19 vendor=Eclipse Adoptium
# ellipsoid=Geodesic.WGS84 a=6378137.0 f=0.0033528106647474805
# mode=uniform seed=20260730 n=10000
# bbox lat=[45.2,45.8] lon=[-123.0,-122.3] s12_m=[1.0,500.0]
# fields are raw IEEE-754 bit patterns, Double.doubleToRawLongBits, 16 lowercase hex digits
lat1	lon1	azi1	s12	lat2	lon2	azi2
4046ad2d11e46723	c05e9e10ad9579dd	406620eb1141d4d2	407725fe020bfcf1	4046acc0040f5cd0	c05e9e0caa0808ac	406620ec7ec5b5b2
4046d8d31899c554	c05ead0712eb74f1	c06628cd213eae82	4074337d6aae540a	4046d873e98a7350	c05ead0a4e587f2e	c06628ce494c5ff3
4046ab4839291c0f	c05ea1f0d3e06bf0	c0645f51da59d84d	407ab6d21b111bf8	4046aacfb88e3a91	c05ea20afab86ff5	c0645f5b27302544
4046d7f2840b7468	c05ead2b22073489	40614aa2c2933e70	40362f10811cdc6c	4046d7eda14f6b77	c05ead2807f414e5	40614aa3deab47a4
4046ca92b581d317	c05eaaa1aca7ea08	c038c1a0b61fe778	406e6afd449ade3f	4046cad3dc035956	c05eaab711674da3	c038c1ddd5ae9237
4046c96a6cc5e401	c05eaedacd4095ff	40391f14a5b8d0f8	40635807875994e5	4046c993bbe4f173	c05eaecd02f3b7ad	40391f3c0a7b937c
4046d3fdd9ae7310	c05ea0620af562a1	c0547408a0f8eaf4	4070e1192fb87721	4046d4092feb3d00	c05ea09a3c3c2b79	c0547430d0c121b0
40469fce4abf638a	c05ea011cdb707ac	c060e75a4f38344d	40417f3c98766ac6	40469fc6f78c929c	c05ea016f26c6b2f	c060e75c22c28c19
4046c2b16439d568	c05eb9feb5dbde27	c060de0f71d950e8	4071f5c6885ca05b	4046c2758bc3f21f	c05eba295d6e463a	c060de1ea9633aea
4046cb159dec59de	c05e9d08a38b3627	c0581e6dd946a4f0	40324b1269538e9c	4046cb150235b940	c05e9d0c7479a0a5	c0581e70931b4e69
4046b997d136169e	c05ebb8a488b2bcc	c039bd6dca7a77d0	406dcb64a5351116	4046b9d71e887b01	c05ebb9ff6e2f2e2	c039bdab98475866
4046d1940c841c24	c05eaf7b505db42a	c056c5b2a3c3f924	4059615c680fb5a1	4046d1937ad2f0ff	c05eaf90a4befe3e	c056c5c1e38baef4
4046a16f11f931e1	c05ebacdf956bce9	40395d5741ccd440	407b6ba1ccd01d71	4046a1e3f48ee61e	c05ebaa6bd5c57db	40395dc6bc8e270d
4046c402b46df2ee	c05ea845c4263501	c0582c465818ec10	406d9bc7a5d3dd10	4046c3fa90ce644f	c05ea8771be26386	c0582c698e825e0c
4046e610df3c7ae9	c05ebcace068dd41	c04316e0902831a0	406086a1fda760ce	4046e62f82cffba7	c05ebcbe192dd05f	c04316f941506ac1
4046c01ab0781411	c05eb42930d36e49	4064910985455eb6	4078c70a4541abfb	4046bfaa0a1b708b	c05eb4130744fd17	406491116c92ab08
4046c33f709fefca	c05ea6b358335d09	c056a1e11c2a229f	407dbfcae1f21ae6	4046c33e2357a586	c05ea7172a1f21a3	c056a228566f228e
4046aeda697f245e	c05ea15a44a8e904	c0624d0655687e84	4047426b9a9c475e	4046aecefcb7a0b8	c05ea15fa69fb78b	c0624d083fb16b9a
4046d7a9ce5d8f65	c05ebb3f442bf4a2	4063824a16d74e90	406907d864b41ff0	4046d773d7e7ebe7	c05ebb2e2f6c4f00	40638250333020de
4046b1f5b551a14b	c05ea6ab7d3ba395	c06407338fa7d157	407341ea68703e73	4046b1a0385daa4a	c05ea6c14c64e34a	c064073b52f51d5d
4046e1a7bcc414a3	c05eb1e13e031073	c060a0a0878ebafd	406fda82085b6d50	4046e1747b0be584	c05eb2087ad0691d	c060a0ae95db325d
4046ad8a5b1f5f44	c05eab8d2ee86649	c05832eaeded5b33	406ca76b117769dd	4046ad825b7ed2a0	c05eabbcc6f3202a	c058330ccaa8da47
4046b5fa0d820fe9	c05eb2637620e686	c05d76ef75aceab9	407bfd6cfa06a94c	4046b5bc59592e47	c05eb2b657be44d8	c05d772a7e909075
